rep,id,eta_Tlag,eta_ka,eta_V,eta_alpha,eta_beta
1,5,3.112781,0.565268,-0.044388,0.000000,0.000000
2,5,-1.871729,-0.356105,0.285684,0.000000,0.000000
3,5,-1.646185,0.778686,0.319743,0.000000,0.000000
4,5,2.317618,0.348339,0.264676,0.000000,0.000000
5,5,5.034152,0.616676,0.087916,0.000000,0.000000
6,5,0.514517,0.103953,-0.108923,0.000000,0.000000
7,5,1.441432,1.190582,0.318619,0.000000,0.000000
8,5,-1.646185,0.608835,0.319743,0.000000,0.000000
9,5,4.207765,0.980390,0.321285,0.000000,0.000000
10,5,5.456722,0.034623,0.087916,0.000000,0.000000
1,6,0.410145,0.477171,0.393705,0.000000,0.000000
2,6,-2.544631,0.899900,0.620453,0.000000,0.000000
3,6,-5.600334,0.110885,-0.097058,0.000000,0.000000
4,6,-0.885065,0.351647,0.189156,0.000000,0.000000
5,6,2.191325,0.495610,-0.082470,0.000000,0.000000
6,6,0.172708,-0.535115,0.179726,0.000000,0.000000
7,6,-2.547907,0.308900,-0.120395,0.000000,0.000000
8,6,2.333237,0.082996,-0.023958,0.000000,0.000000
9,6,-5.210648,0.351647,0.165459,0.000000,0.000000
10,6,-2.093825,0.543502,0.257283,0.000000,0.000000
1,7,-3.206347,0.588203,0.421959,0.000000,0.000000
2,7,0.254324,2.359399,0.275670,0.000000,0.000000
3,7,-2.666544,-0.069378,-0.006018,0.000000,0.000000
4,7,4.638207,-0.234921,0.010851,0.000000,0.000000
5,7,-2.954740,0.586826,-0.084567,0.000000,0.000000
6,7,5.079480,0.131659,-0.124639,0.000000,0.000000
7,7,4.323052,2.942418,0.670024,0.000000,0.000000
8,7,-2.349872,-0.069378,-0.186365,0.000000,0.000000
9,7,5.355658,0.618406,0.642275,0.000000,0.000000
10,7,-0.810643,-0.600435,0.195372,0.000000,0.000000
1,8,5.253940,0.061063,-0.147685,0.000000,0.000000
2,8,-2.130926,-0.495047,-0.516024,0.000000,0.000000
3,8,-0.890606,-0.828447,-0.500236,0.000000,0.000000
4,8,-1.818534,-1.001395,-0.388308,0.000000,0.000000
5,8,0.220833,-0.949658,-0.509073,0.000000,0.000000
6,8,5.436038,-0.359243,-0.195863,0.000000,0.000000
7,8,-5.792204,-0.585447,-0.313786,0.000000,0.000000
8,8,-5.957787,-1.395435,-0.977931,0.000000,0.000000
9,8,-1.705987,-0.670386,-0.197059,0.000000,0.000000
10,8,-1.355043,-0.840296,-0.749248,0.000000,0.000000
1,9,-1.949295,-0.567211,-1.495306,0.000000,0.000000
2,9,-3.465182,-0.538935,-1.512262,0.000000,0.000000
3,9,-4.632589,-0.603022,-1.630720,0.000000,0.000000
4,9,3.543466,-0.470481,-1.404540,0.000000,0.000000
5,9,1.481293,-0.479002,-1.464494,0.000000,0.000000
6,9,-1.949295,-0.567211,-1.495306,0.000000,0.000000
7,9,-5.612879,-0.538935,-1.512262,0.000000,0.000000
8,9,-2.566902,-0.990434,-1.757619,0.000000,0.000000
9,9,-5.389410,-0.393448,-1.440257,0.000000,0.000000
10,9,1.481293,-0.479002,-1.464494,0.000000,0.000000
1,10,-2.033048,0.837739,0.573287,0.000000,0.000000
2,10,6.182651,0.441523,0.575635,0.000000,0.000000
3,10,2.230455,-0.739075,0.055266,0.000000,0.000000
4,10,-2.720629,-0.348237,0.430392,0.000000,0.000000
5,10,-1.877172,-0.673705,0.277978,0.000000,0.000000
6,10,-2.033048,-0.537505,0.343857,0.000000,0.000000
7,10,-1.598728,0.118936,0.927258,0.000000,0.000000
8,10,-5.520703,1.195359,1.021745,0.000000,0.000000
9,10,-2.980698,-0.111432,0.631043,0.000000,0.000000
10,10,2.079588,-0.835150,0.269655,0.000000,0.000000
1,11,8.069795,1.165154,0.005431,0.000000,0.000000
2,11,6.881090,-0.035782,0.243791,0.000000,0.000000
3,11,-2.358958,-0.831048,-0.067905,0.000000,0.000000
4,11,1.823705,-1.035846,-0.192146,0.000000,0.000000
5,11,-3.649017,-1.496600,-0.475728,0.000000,0.000000
6,11,7.552833,0.703847,0.001944,0.000000,0.000000
7,11,6.881090,-0.187126,0.049733,0.000000,0.000000
8,11,1.018132,-0.831048,-0.067905,0.000000,0.000000
9,11,3.766671,-0.571477,0.309027,0.000000,0.000000
10,11,-3.309032,-1.309260,-0.538840,0.000000,0.000000
1,12,-2.679807,-0.502459,0.198330,0.000000,0.000000
2,12,-1.710443,-0.927819,-0.038005,0.000000,0.000000
3,12,0.281376,-0.223243,0.236903,0.000000,0.000000
4,12,-4.027944,-0.065965,0.226452,0.000000,0.000000
5,12,1.814463,-0.099553,0.446320,0.000000,0.000000
6,12,-2.159773,0.437263,0.576753,0.000000,0.000000
7,12,-2.874587,-0.927819,0.021575,0.000000,0.000000
8,12,0.281376,-0.223243,0.236903,0.000000,0.000000
9,12,-1.137389,-0.441308,0.578623,0.000000,0.000000
10,12,-2.562385,0.121311,0.321824,0.000000,0.000000
