rep,id,Tlag,ka,V,alpha,beta
3,9,0.000008,0.394232,37.934562,1.446266,0.620714
4,9,0.028511,0.450105,47.562401,1.446266,0.620714
5,9,0.003626,0.446286,44.794635,1.446266,0.620714
6,9,0.000117,0.408606,43.435443,1.446266,0.620714
7,9,0.000003,0.420325,42.705160,1.446266,0.620714
8,9,0.000063,0.267609,33.413596,1.446266,0.620714
9,9,0.000004,0.486148,45.893598,1.446266,0.620714
10,9,0.003626,0.446286,44.794635,1.446266,0.620714
1,10,0.000108,1.665201,343.734257,1.446266,0.620714
2,10,0.399210,1.120450,344.542485,1.446266,0.620714
3,10,0.007670,0.344084,204.761997,1.446266,0.620714
4,10,0.000054,0.508632,297.964417,1.446266,0.620714
5,10,0.000126,0.367329,255.842119,1.446266,0.620714
6,10,0.000108,0.420926,273.264332,1.446266,0.620714
7,10,0.000167,0.811511,489.723109,1.446266,0.620714
8,10,0.000003,2.381107,538.252084,1.446266,0.620714
9,10,0.000042,0.644535,364.171510,1.446266,0.620714
10,10,0.006596,0.312565,253.721464,1.446266,0.620714
1,11,2.634987,2.310261,194.807670,1.446266,0.620714
2,11,0.802657,0.695186,247.243449,1.446266,0.620714
3,11,0.000078,0.313850,181.032697,1.446266,0.620714
4,11,0.005107,0.255728,159.881973,1.446266,0.620714
5,11,0.000021,0.161315,120.404109,1.446266,0.620714
6,11,1.571320,1.456525,194.129667,1.446266,0.620714
7,11,0.802657,0.597549,203.632118,1.446266,0.620714
8,11,0.002282,0.313850,181.032697,1.446266,0.620714
9,11,0.035641,0.406867,263.910350,1.446266,0.620714
10,11,0.000030,0.194553,113.040011,1.446266,0.620714
1,12,0.000057,0.435939,236.255024,1.446266,0.620714
2,12,0.000149,0.284901,186.527200,1.446266,0.620714
3,12,0.001092,0.576352,245.546240,1.446266,0.620714
4,12,0.000015,0.674517,242.993381,1.446266,0.620714
5,12,0.005060,0.652238,302.748521,1.446266,0.620714
6,12,0.000095,1.115686,344.927831,1.446266,0.620714
7,12,0.000047,0.284901,197.978273,1.446266,0.620714
8,12,0.001092,0.576352,245.546240,1.446266,0.620714
9,12,0.000264,0.463429,345.573481,1.446266,0.620714
10,12,0.000064,0.813441,267.309135,1.446266,0.620714
