rep,id,eta_ka,eta_V,eta_k
1,14,-0.078098,-0.228349,0.063485
2,14,0.380637,0.011819,-0.183920
3,14,0.350651,-0.127398,-0.010385
4,14,-0.067153,0.008522,-0.075606
5,14,0.436558,-0.075675,-0.044956
6,14,0.233019,-0.029284,0.019436
7,14,-0.025834,-0.070705,0.010870
1,15,-0.483745,-0.354813,0.029791
2,15,0.338430,0.096626,-0.296290
3,15,-0.121347,-0.240088,0.004382
4,15,-0.157555,-0.126057,-0.007851
5,15,-0.002638,-0.304165,-0.043108
6,15,-0.027723,-0.023731,-0.170316
7,15,0.255266,-0.204650,-0.080514
1,16,-0.574111,-0.070663,0.164476
2,16,-0.565971,0.140508,-0.023079
3,16,-0.792604,-0.078348,0.115911
4,16,-0.812703,-0.071199,0.128401
5,16,-0.387269,0.099234,-0.026119
6,16,-0.666162,-0.025222,0.182060
7,16,-0.827821,-0.034059,0.086456
1,17,0.439194,0.128242,0.038794
2,17,0.483167,0.515322,-0.043542
3,17,0.720715,0.239674,0.100740
4,17,0.040420,0.242366,0.130000
5,17,0.441862,0.194608,0.026792
6,17,0.685433,0.340850,-0.072967
7,17,0.550246,0.314504,0.054387
1,18,-1.011129,-0.077416,-0.146723
2,18,-0.863186,-0.186000,-0.129289
3,18,-0.770712,-0.093317,-0.038541
4,18,-1.108994,-0.178364,-0.051800
5,18,-1.049082,-0.204724,-0.188101
6,18,-0.614994,-0.112665,-0.302554
7,18,-0.719137,0.038870,-0.256831
1,19,0.762230,-0.043022,0.150434
2,19,0.495717,-0.001126,-0.035546
3,19,0.500728,0.052957,0.005263
4,19,0.417739,0.023396,0.021184
5,19,0.428109,-0.054622,0.029194
6,19,0.321026,0.098392,-0.177272
7,19,0.233482,0.048558,0.054873
1,20,0.203056,0.047620,0.032625
2,20,0.114357,-0.247695,0.001411
3,20,0.551284,-0.146465,-0.000525
4,20,-0.041290,-0.038475,-0.084377
5,20,-0.076172,-0.308385,0.316457
6,20,-0.196051,-0.279163,0.240188
7,20,0.304444,-0.098009,-0.077190
1,21,0.584805,0.196668,0.132558
2,21,0.331778,-0.014948,0.099181
3,21,0.982732,0.053630,-0.140429
4,21,0.525941,0.092273,0.043603
5,21,0.210748,-0.119903,0.160998
6,21,0.633861,0.129550,0.026805
7,21,0.500876,0.145325,-0.036655
1,22,-0.487819,0.025548,-0.114338
2,22,-0.284676,0.029698,-0.081092
3,22,-0.126417,0.173247,-0.158542
4,22,-0.536082,0.067861,-0.172680
5,22,-0.139519,0.058991,-0.041914
6,22,0.193122,0.280773,-0.249308
7,22,-0.439648,-0.025652,-0.039521
1,23,-0.576537,0.214895,0.148646
2,23,-0.154323,0.514855,0.059837
3,23,-0.706891,0.109918,0.085671
4,23,-0.033086,0.317589,0.103005
5,23,0.328829,0.417142,0.058174
6,23,-0.125554,0.498421,0.066743
7,23,-0.022843,0.488964,0.137513
1,24,-0.742969,-0.403131,0.129333
2,24,-0.736181,-0.534358,0.171912
3,24,-0.176473,-0.093114,-0.099415
4,24,-0.270949,-0.091517,-0.123558
5,24,-0.493169,-0.261170,-0.073258
6,24,-0.473632,-0.326469,-0.019309
7,24,-0.237188,-0.307822,-0.104405
1,25,-0.687491,0.323503,-0.458137
2,25,-0.898629,0.012319,-0.162986
3,25,-0.699526,0.189323,-0.445433
4,25,-0.447904,0.234414,-0.388787
5,25,-0.828763,0.074606,-0.215227
6,25,-1.165862,-0.112332,-0.051658
7,25,-1.018142,-0.162435,0.036440
1,26,-0.606628,0.167867,-0.043684
2,26,-0.672998,-0.072807,0.149378
3,26,-0.545723,-0.008437,0.144132
4,26,-0.819763,-0.125601,0.197165
5,26,-0.680034,0.079423,-0.065284
6,26,-0.750427,0.042769,0.039166
7,26,-0.573096,0.120853,-0.006541
1,27,-0.461097,-0.070744,0.133889
2,27,-0.289182,0.142971,0.026892
3,27,-0.186037,0.246294,-0.119638
4,27,-0.703301,-0.031337,0.077262
5,27,-0.231804,0.038732,-0.015533
6,27,-0.416016,0.080021,-0.033720
7,27,-0.707467,-0.056529,-0.078151
1,28,-0.004140,0.577907,-0.047546
2,28,-0.100802,0.468228,0.079131
3,28,-0.116470,0.574429,-0.102001
4,28,-0.194870,0.729799,-0.204013
5,28,0.246514,0.506481,-0.015584
6,28,-0.478323,0.468365,-0.071141
7,28,-0.478337,0.312477,0.262344
1,29,-1.256464,0.221939,-0.051543
2,29,-1.221638,0.314495,-0.257634
3,29,-1.213600,0.099766,0.002791
4,29,-1.388007,0.125787,-0.141083
5,29,-1.386323,-0.086307,0.127283
6,29,-1.413570,0.258106,-0.177654
7,29,-1.655201,0.158109,-0.030664
1,30,0.562789,-0.346874,0.049645
2,30,0.192634,-0.489995,0.204164
3,30,0.251757,-0.434004,0.167044
4,30,0.918752,-0.289862,-0.024400
5,30,0.907974,-0.296844,0.017622
6,30,0.642809,-0.360544,0.029090
7,30,0.645513,-0.361967,0.137438
1,31,-0.072380,-0.342640,-0.046548
2,31,-0.309217,-0.567109,0.026722
3,31,0.171087,-0.324249,-0.016995
4,31,0.082220,-0.478517,-0.040519
5,31,-0.118152,-0.426831,-0.012690
6,31,-0.026791,-0.446209,0.030586
7,31,-0.179351,-0.670195,0.153297
1,32,-0.433596,0.075926,-0.146831
2,32,0.040054,0.284841,-0.301363
3,32,-0.416575,-0.051947,-0.042925
4,32,-0.236771,0.169416,-0.248057
5,32,-0.525032,0.054089,-0.100119
6,32,-0.479564,0.159621,-0.222389
7,32,-0.481652,0.094865,-0.155548
1,33,1.123446,0.039144,0.245640
2,33,1.427610,0.257530,0.069678
3,33,1.571789,0.200689,0.135570
4,33,1.884364,0.258584,0.099138
5,33,0.999529,0.089325,0.190504
6,33,1.682986,0.139168,0.111440
7,33,1.229959,0.102521,0.244603
1,34,-0.388392,0.010352,-0.042527
2,34,0.450630,0.351559,-0.228107
3,34,-0.382251,-0.037725,0.086542
4,34,-0.215615,0.059629,-0.028083
5,34,-0.431734,-0.100451,0.207840
6,34,0.043684,0.178742,-0.065218
7,34,-0.226682,0.176795,-0.043587
1,35,0.496419,0.071530,-0.151237
2,35,0.639904,0.074096,-0.086409
3,35,0.196892,-0.178385,-0.030460
4,35,0.264641,-0.140550,-0.030424
5,35,0.521296,0.084616,-0.089994
6,35,0.652735,0.169619,-0.149223
7,35,0.637698,0.062151,-0.162784
1,36,-0.118298,0.128810,0.035354
2,36,-0.621825,0.049619,0.035090
3,36,-0.069190,-0.117997,-0.027004
4,36,-0.257682,0.101002,-0.013659
5,36,0.000442,0.177937,-0.006148
6,36,-0.477339,0.138001,0.083933
7,36,-0.588083,0.187283,0.007738
1,37,-0.102131,0.298062,-0.301967
2,37,-0.181745,0.139143,-0.295765
3,37,-0.053607,0.114097,-0.133319
4,37,-0.084198,0.186757,-0.233083
5,37,-0.242716,0.260700,-0.186221
6,37,0.007384,0.260694,-0.298619
7,37,0.115761,0.164970,-0.311154
1,38,0.980546,0.103603,0.091869
2,38,0.977137,0.120255,-0.030745
3,38,0.844481,-0.066613,0.060711
4,38,0.788574,-0.063048,0.149655
5,38,0.978257,-0.050472,0.159622
6,38,0.801842,0.050753,0.023218
7,38,0.891862,-0.043737,0.074737
1,39,-0.638442,-0.264288,-0.026143
2,39,-0.272424,-0.157974,-0.203612
3,39,-0.035937,-0.059612,-0.241884
4,39,-0.261544,-0.250493,-0.139240
5,39,-0.670711,-0.357851,-0.033508
6,39,-0.161561,-0.214152,-0.080332
7,39,-0.260697,-0.282827,-0.262369
1,40,-1.069049,0.044448,0.045112
2,40,-0.892815,0.201561,0.011570
3,40,-0.955691,0.290776,-0.133935
4,40,-1.044340,0.204129,-0.182407
5,40,-0.698018,0.236568,-0.008678
6,40,-0.698017,0.223040,-0.063071
7,40,-0.825824,0.301666,-0.111758
1,41,-0.252020,-0.145509,0.061898
2,41,-0.044944,0.124490,-0.117497
3,41,-0.093334,0.114940,-0.041377
4,41,-0.063020,0.119254,-0.070833
5,41,0.477749,0.329269,-0.198665
6,41,-0.078765,0.084415,0.020113
7,41,0.353121,0.082122,-0.054624
1,42,-0.469123,0.354775,-0.307559
2,42,-0.500378,0.274051,-0.254711
3,42,-0.530949,0.019414,-0.033555
4,42,-1.241912,-0.193934,0.064922
5,42,-1.194768,-0.117084,0.022426
6,42,-1.360177,-0.206547,0.114700
7,42,-0.885678,0.072946,-0.109566
1,43,0.115691,0.187675,-0.054954
2,43,-0.002337,0.160265,0.022396
3,43,-0.189771,0.055590,0.027109
4,43,-0.406362,-0.158495,0.171590
5,43,-0.352126,-0.046689,0.175539
6,43,-0.570323,-0.034813,0.193854
7,43,-0.126062,0.121023,-0.015559
1,44,1.152093,-0.262840,-0.077510
2,44,1.149393,-0.268131,-0.075962
3,44,1.148602,-0.258810,-0.237518
4,44,0.755746,-0.172156,-0.148806
5,44,1.334520,-0.277567,-0.105892
6,44,0.777781,-0.282872,-0.052104
7,44,0.917970,-0.401867,0.024420
1,45,-0.625883,-0.225417,-0.188735
2,45,-0.281756,-0.124235,-0.222259
3,45,-0.702757,-0.306422,-0.120985
4,45,-0.323858,-0.189395,-0.263656
5,45,-0.611146,-0.323332,-0.128232
6,45,0.025935,-0.164229,-0.379113
7,45,-0.706973,-0.299080,-0.134909
1,46,1.575290,0.036041,0.036268
2,46,1.321989,-0.029496,0.064479
3,46,2.202430,-0.002190,0.062991
4,46,1.018131,-0.033591,0.169442
5,46,0.980260,-0.263463,0.259515
6,46,1.192593,-0.041841,0.140760
7,46,1.824753,-0.024342,0.172232
1,47,-0.119007,-0.102387,0.205884
2,47,-0.201611,0.001932,0.129334
3,47,0.008541,-0.164626,0.185818
4,47,0.191473,0.054100,0.071162
5,47,0.200567,0.039768,0.102231
6,47,0.018671,0.148010,0.132794
7,47,-0.025881,-0.089309,0.034184
1,48,0.270678,0.117124,0.047643
2,48,0.179449,0.108816,0.047853
3,48,0.231950,0.015638,0.179473
4,48,0.334287,0.207527,-0.110327
5,48,-0.007629,-0.097889,0.098549
6,48,0.208964,-0.034972,0.127503
7,48,0.622120,0.140622,-0.070370
1,49,-0.198808,0.623758,0.067266
2,49,0.070683,0.492617,0.120358
3,49,-0.466428,0.474925,0.100500
4,49,-0.630232,0.706782,-0.033535
5,49,-0.052889,0.762900,-0.072432
6,49,-0.681710,0.368510,0.164339
7,49,-0.618973,0.414159,0.128202
1,50,0.937965,0.211239,0.066503
2,50,0.925301,0.322025,-0.044903
3,50,1.188452,0.271404,0.090210
4,50,0.506477,0.034588,0.289406
5,50,0.322763,0.219997,0.143814
6,50,0.726133,0.260193,0.137622
7,50,0.478912,0.227420,0.236157
1,51,0.184915,0.031382,0.180864
2,51,0.071495,0.024559,0.161562
3,51,0.270686,0.087966,-0.018545
4,51,0.134574,0.107962,0.177997
5,51,0.029837,0.059702,0.150663
6,51,0.308039,0.159507,0.035589
7,51,0.207077,0.153790,0.104286
1,52,0.214247,0.315635,-0.074105
2,52,-0.152368,-0.047999,0.197344
3,52,0.046535,0.219857,-0.006824
4,52,0.130231,0.307123,0.005280
5,52,0.728990,0.318293,-0.025597
6,52,0.078052,0.080459,0.077836
7,52,0.218951,0.160620,-0.057723
1,53,0.781598,-0.244479,0.067396
2,53,0.401005,-0.456645,0.306359
3,53,0.365709,-0.288215,0.075748
4,53,0.913309,-0.284203,0.197210
5,53,0.583213,-0.244086,0.156864
6,53,0.561124,-0.452846,0.209174
7,53,0.600960,-0.266086,0.134038
1,54,0.188069,0.190785,-0.070072
2,54,0.217440,0.070555,-0.020326
3,54,0.322674,0.312161,-0.015492
4,54,0.351162,0.519980,-0.137007
5,54,-0.014733,0.236912,-0.072849
6,54,0.116426,0.154560,-0.107341
7,54,-0.045407,0.249823,-0.204989
1,55,0.187598,0.292655,0.039442
2,55,0.469361,0.149856,0.014220
3,55,0.435798,0.430312,-0.112226
4,55,0.025467,0.272493,-0.116861
5,55,0.054381,0.306583,-0.080736
6,55,0.381531,0.202787,-0.031598
7,55,0.221905,0.310043,0.030689
1,56,-0.827172,-0.044210,-0.156485
2,56,-0.789833,-0.053579,-0.175105
3,56,-0.629265,0.016103,-0.193555
4,56,-0.362101,0.060796,-0.171350
5,56,-0.717405,-0.082654,-0.094796
6,56,-0.816389,-0.116224,-0.155319
7,56,-1.048062,-0.364063,0.135827
1,57,-0.547449,-0.032786,0.071848
2,57,-0.584245,0.204757,-0.062758
3,57,-0.510140,0.243488,-0.086565
4,57,-0.590160,0.048591,-0.021376
5,57,-0.419467,0.212434,-0.101569
6,57,-0.298298,0.294204,-0.089412
7,57,-0.292865,0.160346,-0.174615
1,58,0.286679,0.160734,0.009816
2,58,0.292427,0.255836,-0.155491
3,58,0.648617,0.480213,-0.248765
4,58,0.430871,0.220898,-0.077156
5,58,0.878882,0.168750,0.011563
6,58,0.210903,0.399289,-0.096067
7,58,0.569893,0.351478,-0.163614
1,59,-0.299040,-0.002305,0.018022
2,59,-0.220580,-0.142748,0.104169
3,59,-0.135270,0.018545,0.099097
4,59,-0.066175,-0.037920,0.043042
5,59,-0.151119,-0.098631,0.024842
6,59,-0.059344,-0.049449,0.127729
7,59,0.195064,0.066367,-0.074704
1,60,1.322081,-0.449160,0.078554
2,60,0.925874,-0.359683,0.069725
3,60,0.895011,-0.362839,0.034239
4,60,1.051583,-0.345460,0.088966
5,60,1.140740,-0.319482,0.059610
6,60,0.984844,-0.368637,0.055201
7,60,0.804055,-0.454330,-0.006592
1,61,0.599739,0.348517,0.081453
2,61,0.605893,0.165821,0.156167
3,61,0.729847,0.311105,0.010853
4,61,-0.017277,0.106899,0.111734
5,61,0.446879,0.200132,0.073942
6,61,0.754595,0.252337,-0.012781
7,61,0.219780,0.128314,0.214043
1,62,1.036452,0.000207,-0.160717
2,62,0.243367,-0.114004,0.026411
3,62,0.734259,-0.099634,-0.120771
4,62,0.314309,-0.155671,-0.195376
5,62,0.316494,-0.035482,-0.114623
6,62,0.404105,-0.063295,-0.096948
7,62,0.432879,-0.024512,-0.061816
1,63,1.268876,-0.013288,0.239596
2,63,0.521240,-0.024961,0.372083
3,63,0.981375,0.081334,0.264033
4,63,0.556001,0.020650,0.343042
5,63,0.749664,0.069449,0.254236
6,63,0.863963,0.077578,0.225214
7,63,0.729788,-0.212076,0.407168
1,64,-0.429481,0.115558,-0.027797
2,64,-0.279802,0.020939,-0.078687
3,64,-0.535843,0.161650,-0.050834
4,64,-0.284290,0.205173,-0.086813
5,64,-0.463543,0.113221,0.028422
6,64,-0.456036,0.114548,-0.087625
7,64,-0.530819,0.137791,-0.085840
1,65,0.079750,-0.033353,-0.171810
2,65,0.018172,-0.069971,-0.073901
3,65,-0.258116,-0.206000,0.014980
4,65,0.253577,-0.023129,-0.133411
5,65,0.198719,-0.002673,-0.143609
6,65,0.176090,-0.092537,-0.136300
7,65,0.167026,-0.102460,-0.074433
1,66,0.137222,0.141842,0.035864
2,66,0.024470,0.110450,0.150806
3,66,-0.095710,0.228420,-0.046134
4,66,-0.096036,0.025364,-0.003068
5,66,0.254877,0.274066,0.049414
6,66,0.416181,0.164447,-0.017849
7,66,0.006343,0.055653,0.093564
1,67,0.212486,0.182280,-0.050839
2,67,-0.074475,-0.075956,0.034047
3,67,0.085259,-0.086821,-0.005334
4,67,-0.176011,0.030009,0.009995
5,67,-0.075866,0.037129,0.070635
6,67,-0.161567,-0.063827,0.097142
7,67,0.322550,0.102031,-0.024629
1,68,0.048703,0.361236,-0.064758
2,68,-0.190988,0.157505,0.079636
3,68,-0.305548,0.080685,0.224442
4,68,0.102330,0.149604,0.088524
5,68,-0.372549,-0.003997,0.188886
6,68,0.030890,0.241664,-0.027497
7,68,-0.102108,0.047570,0.094482
1,69,1.356607,-0.029261,0.034319
2,69,0.716248,-0.202918,0.120976
3,69,0.848281,-0.092930,0.048664
4,69,1.313751,-0.141932,0.159265
5,69,0.716788,-0.307239,0.192241
6,69,1.118592,-0.128754,0.064738
7,69,1.488478,-0.134633,0.111536
1,70,-0.218521,-0.711091,0.135087
2,70,-0.418287,-0.606791,0.118891
3,70,-0.092306,-0.621374,0.102568
4,70,0.111712,-0.571038,0.039460
5,70,-0.085324,-0.497502,0.052339
6,70,-0.091081,-0.423202,-0.159230
7,70,-0.147953,-0.477957,0.022134
1,71,-0.899910,0.395925,0.096565
2,71,-0.620800,0.385091,0.025616
3,71,-0.579232,0.571801,0.063184
4,71,-1.076716,0.377950,0.016867
5,71,-1.094557,0.286173,0.198368
6,71,-1.076252,0.327376,0.162594
7,71,-0.615950,0.378732,0.137940
1,72,-0.290609,-0.066372,0.122789
2,72,-0.189502,0.010093,0.037490
3,72,-0.326763,0.000226,-0.062269
4,72,-0.202734,-0.129972,0.214824
5,72,-0.111751,0.091880,0.044441
6,72,-0.088850,0.070240,-0.019070
7,72,-0.024566,0.037055,-0.003056
1,73,0.250834,0.224091,-0.179981
2,73,0.227251,0.248440,-0.208820
3,73,0.287734,0.284300,-0.269523
4,73,0.262143,0.225155,-0.318219
5,73,0.056756,0.146856,-0.086881
6,73,-0.012804,0.068648,-0.125504
7,73,0.024575,0.249751,-0.293658
1,74,0.682815,-0.252808,-0.170056
2,74,1.029618,-0.306702,-0.133236
3,74,1.263676,-0.051772,-0.228238
4,74,1.746992,-0.251835,-0.147530
5,74,1.225081,-0.141380,-0.187344
6,74,1.200446,-0.220713,-0.157689
7,74,1.424839,-0.066075,-0.176512
1,75,0.482052,-0.089343,0.013871
2,75,0.614653,-0.126191,0.025477
3,75,0.326579,-0.296378,0.122110
4,75,0.833667,-0.039596,-0.017809
5,75,0.279439,-0.213132,0.085237
6,75,0.593650,-0.037526,0.020845
7,75,0.324195,-0.034437,-0.015572
1,76,-0.066094,-0.351220,0.083901
2,76,0.148265,-0.062997,-0.013428
3,76,0.184492,-0.189868,-0.060054
4,76,-0.052832,-0.158098,0.002927
5,76,0.051816,-0.183255,-0.002389
6,76,0.455518,-0.160694,0.087022
7,76,0.184345,-0.033352,-0.115948
1,77,0.592640,-0.091465,0.001453
2,77,0.646279,-0.253245,0.158293
3,77,0.405890,-0.217801,0.030587
4,77,0.223884,-0.245363,0.060579
5,77,0.680055,-0.183597,0.015279
6,77,0.685237,-0.103168,-0.021066
7,77,0.661146,-0.223236,-0.029430
1,78,-0.895656,-0.091295,-0.189705
2,78,-0.810074,-0.122594,-0.097383
3,78,-0.647700,0.194655,-0.337170
4,78,-0.955481,-0.129021,-0.020186
5,78,-0.675987,-0.121175,-0.045219
6,78,-1.125711,-0.247285,0.080337
7,78,-0.819510,0.037581,-0.287494
1,79,0.511727,-0.466813,0.024940
2,79,0.146711,-0.436970,0.028268
3,79,0.383204,-0.345801,-0.139270
4,79,0.038947,-0.396231,-0.026500
5,79,0.141998,-0.488192,0.056173
6,79,0.175173,-0.494189,-0.008747
7,79,0.244335,-0.482402,0.022377
1,80,-0.574974,0.119775,0.009991
2,80,-0.691155,0.106064,0.035380
3,80,-0.447083,0.247303,-0.064486
4,80,-0.249068,0.315680,-0.128833
5,80,-0.528432,0.047006,0.183649
6,80,-0.783217,-0.090891,0.071465
7,80,0.020814,0.227176,-0.044752
