alpha_abscissa,alpha_cdf,tau_abscissa,tau_cdf,split
-0.837305,0.216,-0.877004,0.216,All
-0.836301,0.22,-0.871395,0.22,All
-0.832417,0.224,-0.845451,0.224,All
-0.831555,0.228,-0.825872,0.228,All
-0.827284,0.232,-0.823028,0.232,All
-0.808591,0.236,-0.822693,0.236,All
-0.797808,0.24,-0.77414,0.24,All
-0.738092,0.244,-0.769021,0.244,All
-0.731777,0.248,-0.757984,0.248,All
-0.712271,0.252,-0.740623,0.252,All
-0.700441,0.256,-0.733664,0.256,All
-0.688716,0.26,-0.732978,0.26,All
-0.677066,0.264,-0.71315,0.264,All
-0.66971,0.268,-0.696793,0.268,All
-0.636599,0.272,-0.693251,0.272,All
-0.597108,0.276,-0.686954,0.276,All
-0.588228,0.28,-0.684852,0.28,All
-0.586104,0.284,-0.682105,0.284,All
-0.574786,0.288,-0.650438,0.288,All
-0.570242,0.292,-0.621551,0.292,All
-0.560232,0.296,-0.609994,0.296,All
-0.543839,0.3,-0.60237,0.3,All
-0.535263,0.304,-0.600175,0.304,All
-0.525858,0.308,-0.599673,0.308,All
-0.49459,0.312,-0.589315,0.312,All
-0.436392,0.316,-0.576089,0.316,All
-0.419744,0.32,-0.560754,0.32,All
-0.416764,0.324,-0.531961,0.324,All
-0.368495,0.328,-0.487566,0.328,All
-0.340673,0.332,-0.485957,0.332,All
-0.337848,0.336,-0.480609,0.336,All
-0.327057,0.34,-0.478478,0.34,All
-0.314422,0.344,-0.470619,0.344,All
-0.297554,0.348,-0.468574,0.348,All
-0.29627,0.352,-0.45456,0.352,All
-0.282732,0.356,-0.434378,0.356,All
-0.254033,0.36,-0.423797,0.36,All
-0.252177,0.364,-0.389424,0.364,All
-0.250381,0.368,-0.328963,0.368,All
-0.239472,0.372,-0.328797,0.372,All
-0.211989,0.376,-0.322335,0.376,All
-0.206607,0.38,-0.285298,0.38,All
-0.206098,0.384,-0.282597,0.384,All
-0.195642,0.388,-0.274018,0.388,All
-0.188084,0.392,-0.243761,0.392,All
-0.187858,0.396,-0.242089,0.396,All
-0.176938,0.4,-0.229502,0.4,All
-0.16244,0.404,-0.227448,0.404,All
-0.148934,0.408,-0.221385,0.408,All
-0.140807,0.412,-0.220826,0.412,All
-0.133987,0.416,-0.213515,0.416,All
-0.104381,0.42,-0.202155,0.42,All
-0.0878421,0.424,-0.199752,0.424,All
-0.079374,0.428,-0.195944,0.428,All
-0.0722428,0.432,-0.173297,0.432,All
-0.061075,0.436,-0.171345,0.436,All
-0.0572879,0.44,-0.170214,0.44,All
-0.0492555,0.444,-0.161255,0.444,All
-0.0486903,0.448,-0.157484,0.448,All
-0.0408752,0.452,-0.153258,0.452,All
-0.030409,0.456,-0.150483,0.456,All
-0.0292394,0.46,-0.147063,0.46,All
-0.0263169,0.464,-0.144222,0.464,All
-0.014438,0.468,-0.140872,0.468,All
-0.00848314,0.472,-0.13758,0.472,All
-0.007282,0.476,-0.121681,0.476,All
-0.00318834,0.48,-0.119897,0.48,All
0.00893326,0.484,-0.117119,0.484,All
0.0354512,0.488,-0.112095,0.488,All
0.0566087,0.492,-0.0645051,0.492,All
0.0775498,0.496,-0.0624688,0.496,All
0.0778831,0.5,-0.0622058,0.5,All
0.0817065,0.504,-0.055421,0.504,All
0.0897633,0.508,-0.02544,0.508,All
0.0924438,0.512,-0.0242747,0.512,All
0.10544,0.516,-0.0222499,0.516,All
0.106237,0.52,-0.0216333,0.52,All
0.106427,0.524,-0.0157378,0.524,All
0.112343,0.528,0.00877074,0.528,All
0.135218,0.532,0.0247251,0.532,All
0.136568,0.536,0.0267903,0.536,All
0.137251,0.54,0.0315345,0.54,All
0.147124,0.544,0.0370962,0.544,All
0.155802,0.548,0.0473763,0.548,All
0.176142,0.552,0.0572282,0.552,All
0.176602,0.556,0.0831701,0.556,All
0.18011,0.56,0.0920387,0.56,All
0.18461,0.564,0.100702,0.564,All
0.194833,0.568,0.103079,0.568,All
0.201209,0.572,0.106238,0.572,All
0.206064,0.576,0.114429,0.576,All
0.20824,0.58,0.12573,0.58,All
0.215166,0.584,0.128851,0.584,All
0.227393,0.588,0.143863,0.588,All
0.238887,0.592,0.147009,0.592,All
0.240379,0.596,0.182876,0.596,All
0.2457,0.6,0.190199,0.6,All
0.252162,0.604,0.211961,0.604,All
0.279881,0.608,0.223597,0.608,All
0.283763,0.612,0.258056,0.612,All
0.28501,0.616,0.271323,0.616,All
0.308869,0.62,0.2791,0.62,All
0.349895,0.624,0.299293,0.624,All
0.354653,0.628,0.323645,0.628,All
0.372759,0.632,0.327746,0.632,All
0.384322,0.636,0.329389,0.636,All
0.393205,0.64,0.339699,0.64,All
0.405232,0.644,0.351023,0.644,All
0.431524,0.648,0.355621,0.648,All
0.442741,0.652,0.362236,0.652,All
0.453015,0.656,0.365683,0.656,All
0.464277,0.66,0.3669,0.66,All
0.475497,0.664,0.374409,0.664,All
0.481932,0.668,0.377831,0.668,All
0.496226,0.672,0.381042,0.672,All
0.518223,0.676,0.389262,0.676,All
0.518344,0.68,0.392133,0.68,All
0.528086,0.684,0.404593,0.684,All
0.553515,0.688,0.412604,0.688,All
0.557665,0.692,0.427635,0.692,All
0.571491,0.696,0.441123,0.696,All
0.577666,0.7,0.457039,0.7,All
0.58676,0.704,0.459205,0.704,All
0.592108,0.708,0.464437,0.708,All
0.596509,0.712,0.503015,0.712,All
0.614406,0.716,0.504973,0.716,All
0.652151,0.72,0.551397,0.72,All
0.652862,0.724,0.554938,0.724,All
0.653871,0.728,0.557677,0.728,All
0.657838,0.732,0.571439,0.732,All
0.661068,0.736,0.575939,0.736,All
0.667864,0.74,0.601581,0.74,All
0.676008,0.744,0.615326,0.744,All
0.681764,0.748,0.6208,0.748,All
0.688907,0.752,0.632253,0.752,All
0.706898,0.756,0.636076,0.756,All
0.70976,0.76,0.647906,0.76,All
0.709883,0.764,0.664717,0.764,All
0.713362,0.768,0.692586,0.768,All
0.717521,0.772,0.706334,0.772,All
0.733629,0.776,0.72964,0.776,All
0.734087,0.78,0.732746,0.78,All
0.736882,0.784,0.74035,0.784,All
0.740114,0.788,0.747751,0.788,All
0.753658,0.792,0.754536,0.792,All
0.775412,0.796,0.754945,0.796,All
0.805382,0.8,0.770457,0.8,All
0.82116,0.804,0.790365,0.804,All
0.836198,0.808,0.80106,0.808,All
0.838359,0.812,0.816514,0.812,All
0.84046,0.816,0.855146,0.816,All
0.849937,0.82,0.876377,0.82,All
0.85472,0.824,0.8769,0.824,All
0.862553,0.828,0.885425,0.828,All
0.877194,0.832,0.920927,0.832,All
0.877469,0.836,0.938367,0.836,All
0.911612,0.84,0.941435,0.84,All
0.928653,0.844,1.01049,0.844,All
0.932572,0.848,1.03216,0.848,All
0.934763,0.852,1.06111,0.852,All
1.04095,0.856,1.08809,0.856,All
1.0527,0.86,1.09908,0.86,All
1.06708,0.864,1.09913,0.864,All
1.0718,0.868,1.10145,0.868,All
1.0797,0.872,1.10435,0.872,All
1.08585,0.876,1.16645,0.876,All
1.1027,0.88,1.17063,0.88,All
1.10758,0.884,1.21675,0.884,All
1.11459,0.888,1.32622,0.888,All
1.11849,0.892,1.40471,0.892,All
1.1581,0.896,1.40913,0.896,All
1.16712,0.9,1.44969,0.9,All
1.19215,0.904,1.45069,0.904,All
1.19892,0.908,1.45264,0.908,All
1.20257,0.912,1.45577,0.912,All
1.21934,0.916,1.46425,0.916,All
1.22901,0.92,1.52189,0.92,All
1.29217,0.924,1.5227,0.924,All
1.29672,0.928,1.53622,0.928,All
1.34766,0.932,1.54215,0.932,All
1.39886,0.936,1.61079,0.936,All
1.41737,0.94,1.61415,0.94,All
1.43008,0.944,1.68337,0.944,All
1.4535,0.948,1.70634,0.948,All
1.48378,0.952,1.7116,0.952,All
1.55728,0.956,1.74311,0.956,All
1.55953,0.96,1.75331,0.96,All
1.56348,0.964,1.92632,0.964,All
1.65067,0.968,1.94176,0.968,All
1.77345,0.972,1.95775,0.972,All
1.93899,0.976,1.96393,0.976,All
2.1227,0.98,2.15335,0.98,All
2.21344,0.984,2.20866,0.984,All
2.26542,0.988,2.47004,0.988,All
2.28777,0.992,2.51163,0.992,All
2.42218,0.996,2.62135,0.996,All
2.49681,1,2.75574,1,All
