id,alpha_standEta_simulated,tau_standEta_simulated,filter
108,0,0.103377,0
109,0,0.0499906,0
110,0,-0.100927,0
111,0,0.0158428,0
112,0,-0.0643769,0
113,0,0.0398164,0
114,0,-0.112779,0
115,0,-0.0166843,0
116,0,0.0259706,0
117,0,0.0315621,0
118,0,-0.084341,0
119,0,0.147891,0
120,0,0.0479969,0
121,0,0.00569259,0
122,0,-0.0175695,0
123,0,-0.00211863,0
124,0,-0.00981021,0
125,0,0.0194997,0
126,0,-0.0928853,0
127,0,-0.0775445,0
128,0,-0.175313,0
129,0,0.0408803,0
130,0,-0.0935661,0
131,0,0.0494584,0
132,0,-0.0662102,0
133,0,0.0331284,0
134,0,0.0611151,0
135,0,-0.0976642,0
136,0,0.168756,0
137,0,-0.00183353,0
138,0,0.159392,0
139,0,-0.0479837,0
140,0,-0.100128,0
141,0,-0.0443526,0
142,0,0.0073461,0
143,0,0.0243776,0
144,0,-0.0514237,0
145,0,0.0776549,0
146,0,0.019857,0
147,0,0.0725244,0
148,0,-0.0196982,0
149,0,0.0149909,0
150,0,-0.0113174,0
151,0,-0.127699,0
152,0,-0.0408345,0
153,0,-0.00503324,0
154,0,0.0474993,0
155,0,-0.0664343,0
156,0,0.0108549,0
157,0,0.0900268,0
158,0,-0.0174444,0
159,0,-0.0143945,0
160,0,-0.0237351,0
161,0,0.0592161,0
162,0,-0.0509838,0
163,0,-0.0703409,0
164,0,-0.14507,0
165,0,0.0515646,0
166,0,-0.0397295,0
167,0,-0.19367,0
168,0,0.108497,0
169,0,0.0938933,0
170,0,0.012272,0
171,0,-0.133636,0
172,0,-0.0292441,0
173,0,0.0779262,0
174,0,-0.124694,0
175,0,-0.0677141,0
176,0,0.00644067,0
177,0,0.0460574,0
178,0,-0.00425517,0
179,0,0.0388532,0
180,0,-0.00553008,0
181,0,0.108654,0
182,0,-0.143402,0
183,0,-0.0466595,0
184,0,-0.00203715,0
185,0,0.0752237,0
186,0,0.0125485,0
187,0,0.154213,0
188,0,0.0143567,0
189,0,-0.0960192,0
190,0,0.115004,0
191,0,-0.020731,0
192,0,0.0470983,0
193,0,-0.0955683,0
194,0,0.0367924,0
195,0,0.00625391,0
196,0,0.0300648,0
197,0,0.0511447,0
198,0,0.173956,0
199,0,0.038564,0
200,0,-0.0579955,0
201,0,-0.0900102,0
202,0,-0.129373,0
203,0,-0.058336,0
204,0,-0.0563355,0
205,0,0.135092,0
206,0,0.0513394,0
207,0,-0.0372924,0
208,0,0.00394399,0
209,0,0.0454857,0
210,0,-0.0975038,0
211,0,-0.0705106,0
212,0,0.0582589,0
213,0,-0.0123275,0
214,0,0.0743448,0
215,0,0.0996355,0
216,0,0.0454361,0
217,0,0.0647004,0
218,0,0.00542621,0
219,0,-0.0344587,0
220,0,0.0412529,0
221,0,-0.0804564,0
222,0,0.09746,0
223,0,-0.0905125,0
224,0,-0.123725,0
225,0,-0.149159,0
226,0,0.0458323,0
227,0,-0.0925351,0
228,0,-0.0893405,0
229,0,-0.0744638,0
230,0,0.0145083,0
231,0,0.0123041,0
232,0,0.0651261,0
233,0,0.0415595,0
234,0,-0.00343169,0
235,0,-0.0659284,0
236,0,-0.000222136,0
237,0,0.045556,0
238,0,0.0140185,0
239,0,-0.0206415,0
240,0,-0.0827137,0
241,0,-0.0366371,0
242,0,-0.0256735,0
243,0,-0.0683061,0
244,0,-0.0824379,0
245,0,-0.0929291,0
246,0,0.0525083,0
247,0,-0.120709,0
248,0,-0.0176988,0
249,0,0.0308463,0
250,0,0.0335768,0
