rep,id,eta_Tlag,eta_Tk0,eta_Vol,eta_Cl,eta_ke0,eta_IC50,eta_gamma,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c
1,56,-0.124597558564211,0,0,0,0,0,0,0,0,0,0,0,0
1,57,-0.280590380170269,0,0,0,0,0,0,0,0,0,0,0,0
1,58,-0.10038129448827,0,0,0,0,0,0,0,0,0,0,0,0
1,59,0.249369337761468,0,0,0,0,0,0,0,0,0,0,0,0
1,60,0.350913828393234,0,0,0,0,0,0,0,0,0,0,0,0
1,61,-0.403554429669287,0,0,0,0,0,0,0,0,0,0,0,0
1,62,0.0636840799534713,0,0,0,0,0,0,0,0,0,0,0,0
1,63,0.288351978604773,0,0,0,0,0,0,0,0,0,0,0,0
1,64,-0.531412361106239,0,0,0,0,0,0,0,0,0,0,0,0
1,65,-0.0085742066098804,0,0,0,0,0,0,0,0,0,0,0,0
1,66,0.41066315699622,0,0,0,0,0,0,0,0,0,0,0,0
1,67,0.323897243910389,0,0,0,0,0,0,0,0,0,0,0,0
1,68,0.338380749640749,0,0,0,0,0,0,0,0,0,0,0,0
1,69,-0.1040027395047,0,0,0,0,0,0,0,0,0,0,0,0
1,70,0.181009957287582,0,0,0,0,0,0,0,0,0,0,0,0
1,71,-0.0600255766007736,0,0,0,0,0,0,0,0,0,0,0,0
1,72,-0.588162293275004,0,0,0,0,0,0,0,0,0,0,0,0
1,73,-0.0759002356944616,0,0,0,0,0,0,0,0,0,0,0,0
1,74,0.269545468788514,0,0,0,0,0,0,0,0,0,0,0,0
1,75,-0.585278136501346,0,0,0,0,0,0,0,0,0,0,0,0
1,76,0.451384222413098,0,0,0,0,0,0,0,0,0,0,0,0
1,77,-0.0628565645573083,0,0,0,0,0,0,0,0,0,0,0,0
1,78,-0.0269205384856703,0,0,0,0,0,0,0,0,0,0,0,0
1,79,0.258311066197278,0,0,0,0,0,0,0,0,0,0,0,0
1,80,-0.206162905081323,0,0,0,0,0,0,0,0,0,0,0,0
1,81,0.59778572889562,0,0,0,0,0,0,0,0,0,0,0,0
1,82,0.0240142358011679,0,0,0,0,0,0,0,0,0,0,0,0
1,83,-0.386948006757348,0,0,0,0,0,0,0,0,0,0,0,0
1,84,0.0345473628278004,0,0,0,0,0,0,0,0,0,0,0,0
1,85,-0.277023754745829,0,0,0,0,0,0,0,0,0,0,0,0
1,86,0.498339087358344,0,0,0,0,0,0,0,0,0,0,0,0
1,87,-0.570949034664914,0,0,0,0,0,0,0,0,0,0,0,0
1,88,-0.00810049356113773,0,0,0,0,0,0,0,0,0,0,0,0
1,89,0.136169051123248,0,0,0,0,0,0,0,0,0,0,0,0
1,90,-0.470627466365318,0,0,0,0,0,0,0,0,0,0,0,0
1,91,-0.373585179402663,0,0,0,0,0,0,0,0,0,0,0,0
1,92,0.402607621841256,0,0,0,0,0,0,0,0,0,0,0,0
1,93,-0.372442016887266,0,0,0,0,0,0,0,0,0,0,0,0
1,94,0.112219219255079,0,0,0,0,0,0,0,0,0,0,0,0
1,95,0.350126178072443,0,0,0,0,0,0,0,0,0,0,0,0
1,96,0.0921774876448969,0,0,0,0,0,0,0,0,0,0,0,0
1,97,0.0676781220101388,0,0,0,0,0,0,0,0,0,0,0,0
1,98,0.558567798899653,0,0,0,0,0,0,0,0,0,0,0,0
1,99,-0.249668267004085,0,0,0,0,0,0,0,0,0,0,0,0
1,100,-0.313578379383168,0,0,0,0,0,0,0,0,0,0,0,0
