X	Y	group
72.7564	0.3192	32
82.4763	0.8486	32
54.6755	0.0179	33
58.4757	0.0552	33
64.1541	0.1122	33
70.7078	0.2169	33
71.7117	0.2555	33
61.3377	0.1131	34
62.1321	0.1476	34
63.2363	0.1687	34
63.3074	0.1702	34
63.5834	0.1836	34
68.3906	0.3718	34
69.958	0.4641	34
76.2802	0.7391	34
80.2233	0.8819	34
64.1758	0.0694	35
64.6747	0.0617	35
65.6097	0.0877	35
69.3934	0.1592	35
69.4849	0.1622	35
70.3119	0.1616	35
71.0044	0.2013	35
75.292	0.3856	35
75.5962	0.3938	35
60.1102	0.0896	36
61.4273	0.1101	36
62.6809	0.159	36
68.1424	0.2878	36
82.5706	0.8345	36
66.2346	0.36	37
67.0624	0.3906	37
69.0659	0.4395	37
70.2577	0.4688	37
70.7408	0.4968	37
71.4612	0.5186	37
74.6283	0.6206	37
78.3845	0.7224	37
51.2068	-0.0328	38
61.7253	0.0676	38
76.1051	0.8914	38
77.238	0.9262	38
82.1112	0.9735	38
60.611	0.0457	39
65.446	0.1239	39
66.6121	0.1311	39
68.8399	0.1831	39
84.5322	0.753	39
61.5463	0.1398	40
62.7828	0.1672	40
65.3569	0.3129	40
66.0503	0.3749	40
66.5093	0.4007	40
71.8283	0.8023	40
77.3756	0.9652	40
79.2467	0.9956	40
80.1753	0.9689	40
64.5653	0.168	41
68.0011	0.2489	41
69.035	0.2743	41
69.8162	0.2947	41
70.0645	0.3029	41
78.2238	0.5478	41
67.1419	0.1412	42
67.7024	0.154	42
68.7636	0.2364	42
72.9252	0.6763	42
76.4607	0.8854	42
76.646	0.911	42
77.9738	0.9731	42
62.5526	0.0427	43
62.5549	0.0222	43
63.3492	0.0278	43
69.1289	0.1786	43
75.1242	0.5368	43
75.9908	0.5923	43
64.3989	0.4906	44
65.1542	0.5252	44
66.1913	0.5902	44
66.6634	0.6108	44
68.6747	0.7115	44
68.7688	0.6952	44
71.7225	0.8094	44
75.1891	0.8845	44
57.0736	0.0182	45
60.638	0.0092	45
61.4052	0.0251	45
62.2177	0.0442	45
73.5011	0.4463	45
73.5082	0.4559	45
82.0477	0.9252	45
83.7841	0.9304	45
87.3126	0.9774	45
57.6407	0.0598	46
61.1904	0.1037	46
65.6475	0.2064	46
70.5736	0.4523	46
72.5139	0.5416	46
75.5107	0.6887	46
76.395	0.7315	46
82.2741	0.9022	46
82.3983	0.9083	46
62.2341	0.0261	47
68.4423	0.1852	47
69.5485	0.1896	47
70.2846	0.2415	47
71.2773	0.3082	47
73.1412	0.433	47
73.5105	0.4465	47
77.4131	0.7082	47
79.2595	0.7851	47
53.5577	0.0137	48
61.8752	0.0721	48
62.568	0.0916	48
64.5162	0.1016	48
70.9389	0.1813	48
73.7828	0.2573	48
73.9495	0.2599	48
78.7994	0.4064	48
89.048	0.7075	48
62.2489	0.0127	49
63.162	0.0204	49
64.3557	0.0192	49
74.25	0.2552	49
75.5128	0.3215	49
56.3275	-0.0145	50
67.2152	0.1039	50
67.5316	0.1164	50
69.7577	0.1852	50
78.1626	0.7807	50
81.202	0.9041	50
81.3398	0.9231	50
81.7317	0.9005	50
61.1183	0.0969	51
61.2843	0.0926	51
61.5441	0.1123	51
68.1819	0.2734	51
72.4649	0.4679	51
73.4154	0.5196	51
73.5346	0.5305	51
75.8157	0.6345	51
78.7789	0.777	51
64.0325	0.1505	52
65.6663	0.2586	52
65.9747	0.2615	52
71.9892	0.656	52
72.3167	0.6547	52
77.2403	0.8825	52
77.67	0.8816	52
77.9652	0.8982	52
50.863	0.0115	53
72.4709	0.6553	53
74.1743	0.7607	53
84.0424	0.9696	53
92.7074	1.0116	53
53.4749	0.0264	54
57.1469	0.0043	54
61.5423	0.047	54
62.7647	0.0607	54
66.155	0.0922	54
71.8923	0.2376	54
77.9292	0.4605	54
82.4695	0.6329	54
64.3088	0.333	55
65.3305	0.4323	55
66.0972	0.4915	55
66.7042	0.5486	55
69.4329	0.7423	55
70.8872	0.8175	55
71.3452	0.8547	55
72.004	0.8852	55
46.4289	0.0044	56
47.3922	-0.0183	56
52.2868	-0.0229	56
54.7875	-0.0234	56
66.5583	0.0843	56
82.7326	0.9146	56
83.6483	0.9332	56
59.0079	0.0608	57
59.5673	0.0374	57
65.3809	0.122	57
70.6747	0.2845	57
77.2959	0.5761	57
78.8149	0.6573	57
54.357	0.1704	58
58.6384	0.2232	58
59.8761	0.2357	58
70.1258	0.4938	58
80.1699	0.7408	58
56.0321	0.0044	59
61.1283	0.0176	59
65.4517	0.0267	59
66.4141	0.0303	59
67.7887	0.0543	59
70.1849	0.0792	59
76.3153	0.2407	59
86.0465	0.692	59
57.4361	-0.0032	60
57.7127	0.0161	60
64.6383	0.0256	60
66.0104	0.0479	60
70.8948	0.2033	60
81.0373	0.895	60
62.2749	0.193	61
62.6123	0.2113	61
65.0726	0.3739	61
65.2988	0.3735	61
65.657	0.4123	61
66.0263	0.4435	61
67.4546	0.5565	61
78.3714	0.9681	61
57.5762	-0.0059	62
66.0574	-0.0073	62
67.0221	0.0022	62
67.7839	0.0205	62
70.3028	-0.0018	62
80.8999	0.2111	62
83.5297	0.4567	62
86.8423	0.7499	62
57.0223	0.1474	63
71.0341	0.4027	63
71.1195	0.4217	63
76.5531	0.5419	63
85.4669	0.7281	63
86.4944	0.7553	63
56.1765	0.0347	64
58.1777	0.0153	64
60.5211	0.0425	64
63.561	0.0686	64
65.3138	0.1055	64
68.9949	0.1741	64
72.5789	0.2903	64
82.1756	0.7209	64
62.5418	0.0307	65
69.4193	0.0623	65
70.5696	0.0622	65
71.8662	0.0815	65
72.3106	0.0963	65
75.8884	0.167	65
78.3243	0.2611	65
83.4611	0.4545	65
86.5629	0.6104	65
58.9437	0.0145	66
63.5537	0.0318	66
66.8192	0.0725	66
75.2655	0.5968	66
80.1404	0.8597	66
80.439	0.8848	66
84.4864	0.9824	66
84.7313	0.9646	66
86.2131	0.979	66
62.5976	0.0141	67
66.8627	0.0131	67
70.1461	0.0249	67
71.6551	0.0284	67
72.8357	0.0436	67
75.5687	0.0511	67
76.2611	0.0552	67
77.1365	0.0753	67
55.1871	0.045	68
62.3241	0.0729	68
70.6364	0.1898	68
80.1478	0.393	68
82.5233	0.4697	68
83.0356	0.4841	68
83.2002	0.4885	68
71.9506	0.1696	69
72.395	0.1861	69
80.2941	0.4105	69
81.0977	0.4359	69
83.9012	0.5371	69
54.613	0.0429	70
54.7444	0.0293	70
64.7363	0.1036	70
64.7983	0.1125	70
69.2956	0.1675	70
70.8809	0.1851	70
73.8543	0.2568	70
85.4258	0.5151	70
55.2997	0.0667	71
56.8904	0.0803	71
69.7804	0.1913	71
70.566	0.1929	71
74.6955	0.2387	71
78.37	0.3044	71
78.8755	0.3055	71
59.6152	0.1632	72
62.4362	0.2154	72
66.1669	0.2327	72
67.4235	0.2638	72
68.9966	0.2789	72
77.1256	0.459	72
77.4079	0.4623	72
53.3052	0.0135	73
56.3585	0.0125	73
64.6498	0.1232	73
73.1266	0.4343	73
80.1111	0.7415	73
60.0699	-0.009	74
71.751	0.1248	74
72.4951	0.1707	74
73.2882	0.1711	74
75.2066	0.2551	74
76.0901	0.2998	74
76.3314	0.3083	74
79.7468	0.4795	74
62.9223	0.1285	75
66.5126	0.2087	75
68.0042	0.227	75
69.2691	0.2502	75
70.0402	0.2722	75
73.584	0.319	75
77.3668	0.3956	75
78.6447	0.4379	75
57.0807	0.0178	76
57.8997	0.0152	76
62.1306	0.0354	76
65.2692	0.0601	76
68.2387	0.1322	76
69.5644	0.1384	76
69.8271	0.154	76
54.3514	0.0467	77
57.261	0.1031	77
57.3883	0.1081	77
60.5568	0.1926	77
74.5995	0.8614	77
81.7115	0.9724	77
84.7329	0.9904	77
86.6474	0.996	77
59.1385	0.0225	78
64.3992	-0.0094	78
67.491	0.0428	78
68.7084	0.0533	78
72.2383	0.1102	78
80.499	0.6561	78
62.1247	0.1637	79
64.167	0.2242	79
67.2618	0.2572	79
67.5349	0.2639	79
76.3506	0.5015	79
76.5076	0.5128	79
76.7186	0.5313	79
77.1787	0.54	79
78.0656	0.5766	79
65.0653	0.0115	80
67.7128	0.0089	80
73.4974	0.0181	80
73.8077	0.0237	80
74.5005	0.0152	80
66.4679	0.3585	81
69.1875	0.4257	81
70.0074	0.4602	81
73.3684	0.5607	81
74.1927	0.5722	81
74.4679	0.5993	81
59.3756	0.0733	82
70.5676	0.2508	82
73.3002	0.3371	82
74.1465	0.3744	82
78.2907	0.4976	82
63.762	0.1403	83
63.8683	0.1302	83
64.6242	0.1244	83
66.6486	0.1809	83
66.7137	0.1788	83
68.1517	0.2181	83
68.2283	0.2199	83
68.2735	0.3809	84
69.6277	0.4293	84
73.9134	0.5513	84
74.4572	0.5841	84
75.0958	0.5887	84
68.249	0.2542	85
68.3624	0.2417	85
70.1051	0.2572	85
70.7464	0.2758	85
72.7204	0.2887	85
74.0939	0.3227	85
74.2886	0.3267	85
60.4288	0.0132	86
69.308	0.1098	86
69.987	0.1158	86
78.6879	0.4958	86
79.8773	0.5762	86
80.8905	0.6494	86
83.1697	0.7529	86
88.046	0.9121	86
57.0396	0.0544	87
61.0855	0.1544	87
62.7798	0.2669	87
66.3671	0.5287	87
78.0015	0.9917	87
50.9825	0.0141	88
55.3365	0.0226	88
57.7878	0.0372	88
59.3644	0.0621	88
76.107	0.537	88
81.6049	0.725	88
50.4282	0.1068	89
52.0972	0.1219	89
53.86	0.1564	89
55.4359	0.2058	89
62.8967	0.4665	89
65.9231	0.5965	89
67.7012	0.6737	89
72.8048	0.8333	89
78.1761	0.919	89
70.3311	0.0455	90
72.4017	0.0851	90
73.4041	0.1062	90
76.2138	0.1871	90
79.4944	0.3592	90
66.6782	0.0528	91
66.8463	0.0487	91
67.4051	0.0399	91
67.8516	0.061	91
69.1745	0.0776	91
70.0762	0.0909	91
72.4123	0.1139	91
61.0425	0.2589	92
61.356	0.2558	92
64.0305	0.32	92
65.7357	0.3321	92
68.0491	0.4165	92
70.8736	0.4969	92
79.419	0.726	92
65.1364	0.413	93
70.0286	0.6172	93
70.7699	0.6318	93
73.6406	0.7418	93
78.4651	0.8542	93
85.1471	0.9297	93
88.8287	0.9678	93
54.3231	0.0141	94
56.6063	0.0006	94
58.1965	0.002	94
63.2858	0.039	94
64.8918	0.0168	94
81.2669	0.3611	94
82.3291	0.4025	94
85.3757	0.5532	94
64.127	0.2797	95
65.0352	0.2864	95
66.5953	0.3737	95
70.61	0.5195	95
72.004	0.5796	95
73.8156	0.6247	95
74.268	0.6632	95
74.7907	0.6722	95
75.5149	0.7153	95
53.258	0.0191	96
54.3901	0.0328	96
54.8662	0.0246	96
57.7405	0.0446	96
74.7806	0.698	96
79.2223	0.852	96
57.232	0.0383	97
65.0919	0.1067	97
73.2175	0.3292	97
74.9594	0.4136	97
80.7698	0.6732	97
65.2722	0.4366	98
65.717	0.4552	98
66.1823	0.4981	98
68.2462	0.6387	98
68.3246	0.6515	98
69.3261	0.7027	98
70.2002	0.7427	98
71.1235	0.7807	98
71.5091	0.8081	98
58.4472	0.0171	99
60.3798	0.0249	99
66.0381	0.0722	99
66.9967	0.072	99
69.1589	0.0842	99
76.8059	0.2729	99
59.6935	0.0387	100
64.2481	0.137	100
68.1854	0.2859	100
72.0108	0.522	100
72.8096	0.5983	100
81.0812	0.9076	100
53.5555	0.0065	101
59.2061	0.0105	101
66.8298	0.2675	101
68.5448	0.3876	101
76.717	0.9047	101
88.8479	0.9871	101
92.2564	0.9852	101
54.478	-0.0057	102
58.8994	0.0233	102
61.0585	0.0188	102
61.9687	0.0364	102
65.7697	0.0719	102
69.2055	0.1023	102
63.5369	0.0147	103
67.0497	0.0268	103
69.5976	0.0302	103
73.6855	0.0836	103
74.1208	0.0841	103
75.3372	0.1116	103
75.4933	0.1	103
76.4053	0.1381	103
76.6393	0.1285	103
62.418	0.1244	104
63.4568	0.1426	104
65.7545	0.2744	104
66.6693	0.3214	104
69.9425	0.5296	104
72.7928	0.7331	104
72.8108	0.7255	104
75.5912	0.8464	104
78.2766	0.9123	104
59.035	0.0124	105
60.8346	0.0064	105
64.0768	0.0316	105
67.3353	0.0324	105
72.6675	0.0596	105
76.6095	0.1245	105
76.7452	0.1537	105
79.4263	0.2206	105
66.2663	-0.0033	106
67.2119	0.0113	106
68.0217	0.0331	106
69.2646	0.0369	106
69.2745	0.0308	106
69.6716	0.046	106
70.252	0.0746	106
74.1362	0.425	106
65.0842	0.4314	107
68.9275	0.4917	107
70.6595	0.5444	107
70.7681	0.5474	107
74.436	0.6312	107
48.5417	0.0026	108
50.2387	-0.0078	108
61.6449	0.0346	108
61.8396	0.0421	108
67.2592	0.2225	108
84.6962	0.9871	108
86.506	1.0104	108
89.1516	1.0076	108
61.9963	0.1015	109
66.4572	0.2399	109
69.1073	0.4282	109
80.145	0.9359	109
83.4542	0.952	109
65.068	0.3126	110
69.6283	0.4001	110
70.6061	0.4333	110
71.3299	0.4515	110
76.849	0.5575	110
54.9675	0.2137	111
58.3944	0.3912	111
60.2345	0.4718	111
79.9552	0.9785	111
86.4397	1.0196	111
65.4168	0.211	112
67.1496	0.264	112
68.4896	0.2804	112
69.7034	0.3324	112
72.1961	0.3807	112
73.9467	0.4264	112
74.0325	0.4111	112
75.1443	0.4501	112
61.0278	0.0593	113
67.9712	0.2559	113
70.143	0.3505	113
72.366	0.4878	113
74.2754	0.6036	113
78.0206	0.7828	113
80.8195	0.8932	113
63.2234	0.2443	114
64.1803	0.2394	114
64.5095	0.2602	114
70.9451	0.3713	114
72.0648	0.3899	114
73.1412	0.3833	114
73.4937	0.399	114
74.2923	0.4318	114
61.1393	0.0951	115
64.9631	0.1465	115
77.7311	0.5693	115
78.4741	0.5962	115
78.6877	0.6047	115
61.6022	0.2431	116
61.6587	0.2158	116
66.4646	0.492	116
69.5158	0.6344	116
73.7906	0.8234	116
74.6498	0.8434	116
77.701	0.9177	116
57.1456	0.0032	117
57.5374	0.0005	117
61.7047	0.0155	117
64.126	0.022	117
66.9002	0.0193	117
67.238	0.0278	117
67.8566	0.0103	117
68.5207	0.052	117
82.1722	0.3761	117
65.5738	0.0931	118
68.0528	0.1028	118
68.0615	0.0994	118
70.8783	0.1343	118
74.6372	0.1542	118
65.5665	0.4618	119
68.7501	0.8322	119
70.9493	0.9259	119
71.6302	0.9624	119
74.362	0.9912	119
58.7089	-0.0016	120
60.6727	0.0033	120
62.5053	-0.0071	120
65.6457	-0.0019	120
70.5312	0.0288	120
70.6693	0.0047	120
70.8513	-0.0118	120
74.2122	0.0267	120
78.6081	0.0804	120
60.589	0.1217	121
63.8904	0.1608	121
64.9329	0.2102	121
71.3723	0.4567	121
71.9144	0.4767	121
64.2808	0.0263	122
72.8424	0.0499	122
73.8522	0.0927	122
77.795	0.1302	122
80.4698	0.217	122
83.3395	0.2588	122
49.6144	0.0029	123
55.7714	-0.0074	123
56.6791	-0.0026	123
58.9151	0.003	123
61.1812	-0.003	123
65.3127	-0.0013	123
83.2528	0.1966	123
86.2276	0.2857	123
52.5157	0.0099	124
59.4482	0.0074	124
71.3	0.0837	124
75.6492	0.1545	124
83.5791	0.4303	124
58.6608	0.0126	125
61.5244	0.0135	125
64.8419	0.0474	125
70.6413	0.1582	125
79.4172	0.5187	125
64.8465	0.1714	126
65.025	0.1867	126
65.3184	0.1687	126
65.3478	0.1769	126
67.3399	0.199	126
70.2593	0.2595	126
73.147	0.2954	126
78.6501	0.4099	126
80.2732	0.4406	126
64.8074	0.0832	127
65.9183	0.0785	127
66.4153	0.0948	127
68.7069	0.0973	127
68.78	0.0721	127
72.2593	0.1653	127
72.492	0.1543	127
74.9577	0.1865	127
76.2788	0.215	127
67.5223	0.1566	128
68.5286	0.1667	128
79.2809	0.2475	128
80.8087	0.2758	128
85.1543	0.3015	128
61.2065	-0.0053	129
74.2365	0.0348	129
75.2465	0.0573	129
75.3411	0.0586	129
80.239	0.125	129
84.2002	0.3255	129
66.0735	0.084	130
66.8621	0.0854	130
69.2341	0.1085	130
70.3375	0.1066	130
71.6604	0.105	130
79.3105	0.2138	130
85.9776	0.3325	130
64.3213	0.4317	131
67.7984	0.6516	131
69.5369	0.7478	131
74.0522	0.907	131
76.4694	0.9587	131
54.6752	0.1004	132
67.5139	0.2525	132
67.7248	0.2588	132
77.4007	0.4983	132
79.7257	0.5708	132
59.4249	0.0232	133
60.3126	0.0359	133
63.7701	0.0841	133
72.223	0.3451	133
73.7445	0.4183	133
80.1381	0.7621	133
80.6375	0.7878	133
84.4971	0.9066	133
86.0697	0.9282	133
65.1369	0.0112	134
68.3048	0.0516	134
68.3615	0.055	134
68.5432	0.0533	134
68.6594	0.0666	134
71.6455	0.131	134
72.0343	0.1217	134
61.0589	0.0998	135
61.5895	0.1161	135
66.7952	0.179	135
69.4825	0.1867	135
72.6398	0.2305	135
73.8188	0.2489	135
55.9274	0.0019	136
64.6327	0.0166	136
69.1323	0.283	136
77.1376	0.9882	136
77.5467	0.9839	136
78.326	0.9958	136
66.5699	0.0856	137
68.2912	0.1027	137
68.7781	0.1162	137
69.1945	0.1035	137
74.5461	0.2681	137
53.8779	0.0099	138
55.8336	0.0018	138
61.0163	-0.0051	138
66.9944	0.4224	138
67.2965	0.4614	138
80.4322	0.9775	138
81.0252	1.005	138
82.5391	0.991	138
59.8201	0.4043	139
63.7181	0.5364	139
67.1576	0.6334	139
67.3974	0.6457	139
70.6727	0.7167	139
81.5713	0.901	139
67.1439	0.1306	140
68.6027	0.1341	140
69.5105	0.1541	140
69.941	0.1571	140
70.3527	0.1643	140
72.0543	0.1802	140
72.4964	0.163	140
73.8228	0.2048	140
57.4594	0.0762	141
64.3149	0.1597	141
72.3955	0.3279	141
79.6888	0.586	141
84.5812	0.7102	141
85.6224	0.7495	141
59.0178	0.3232	142
60.5173	0.4053	142
66.9642	0.7028	142
72.3025	0.8772	142
85.5612	0.988	142
92.9386	1.0055	142
61.0485	0.0228	143
62.2302	0.0312	143
65.9296	0.0469	143
66.6034	0.0684	143
70.899	0.1206	143
72.4594	0.2032	143
74.6194	0.2704	143
71.886	0.4793	144
76.4099	0.6036	144
77.235	0.6317	144
82.1993	0.7488	144
85.5716	0.8372	144
88.9902	0.8792	144
51.5392	0.0301	145
53.8497	0.0056	145
64.9985	0.0074	145
66.5806	0.0067	145
69.7572	0.0272	145
56.0333	0.0264	146
61.6456	0.1208	146
77.6404	0.7582	146
78.0891	0.7858	146
81.2936	0.8816	146
59.5817	0.3669	147
64.0995	0.7006	147
68.4943	0.8925	147
73.098	0.9749	147
73.9302	0.9788	147
62.7638	0.1392	148
75.8721	0.5748	148
81.1009	0.7852	148
84.9851	0.8524	148
89.7293	0.9122	148
66.7763	0.1179	149
67.7766	0.1463	149
71.2157	0.2499	149
71.9676	0.2629	149
72.5346	0.2885	149
72.6474	0.3071	149
75.122	0.3804	149
76.6067	0.4448	149
77.3459	0.5215	149
65.3815	0.0851	150
67.6105	0.1576	150
67.7647	0.1375	150
68.8769	0.1669	150
71.5213	0.2698	150
71.5545	0.2487	150
71.9614	0.2367	150
61.1588	0.1021	151
67.1962	0.1337	151
70.6605	0.1611	151
73.4731	0.1878	151
73.6102	0.1796	151
74.4491	0.196	151
76.2831	0.216	151
76.9814	0.2114	151
79.4476	0.2603	151
51.6485	0.038	152
57.1745	0.0594	152
57.8185	0.0702	152
63.6066	0.1418	152
74.022	0.3843	152
83.3999	0.6752	152
83.9014	0.6984	152
86.8768	0.7849	152
56.342	0.0181	153
57.3442	0.0103	153
69.5139	0.1437	153
72.2081	0.1876	153
76.03	0.3166	153
77.7032	0.4009	153
79.1033	0.4501	153
63.3483	0.0166	154
68.2342	0.0124	154
72.6394	0.0024	154
77.2938	0.0747	154
77.4574	0.0884	154
65.9265	0.1466	155
68.7756	0.1626	155
72.4626	0.2484	155
78.1245	0.3731	155
78.7041	0.3818	155
60.2506	0.0168	156
67.3821	0.0182	156
69.1671	0.0291	156
69.9583	0.0267	156
70.7604	0.0442	156
78.591	0.1284	156
85.4339	0.3564	156
89.2099	0.5317	156
58.6464	0.0514	157
61.1512	0.089	157
68.0145	0.507	157
71.0022	0.7396	157
71.3424	0.7788	157
71.5272	0.7722	157
72.1756	0.798	157
73.4521	0.8669	157
52.9805	0.0932	158
61.7772	0.3347	158
74.6147	0.7733	158
80.1399	0.9215	158
80.6734	0.9034	158
82.0295	0.9199	158
82.1392	0.9289	158
82.6374	0.9209	158
86.0323	0.9389	158
48.4612	-0.0088	159
51.4478	0.0219	159
65.9396	0.0532	159
73.897	0.1657	159
84.1076	0.5202	159
84.9504	0.5456	159
91.929	0.7756	159
57.9075	0.0454	160
59.7097	0.05	160
70.6953	0.1969	160
73.0226	0.2617	160
76.3322	0.3718	160
76.9555	0.3874	160
79.3737	0.4888	160
60.0136	0.0207	161
63.5512	0.0319	161
68.201	0.0431	161
72.828	0.1684	161
73.0562	0.1639	161
54.3457	0.0012	162
54.9085	-0.0023	162
58.4851	0.0196	162
78.9748	0.1036	162
85.9878	0.2392	162
55.6919	0.0405	163
63.8994	0.0821	163
77.4368	0.2897	163
81.4161	0.3654	163
90.7329	0.6114	163
48.7189	0.0464	164
52.5939	0.0575	164
55.7551	0.0816	164
61.7252	0.1293	164
63.804	0.1475	164
67.2686	0.1604	164
70.8213	0.1862	164
78.5915	0.2865	164
84.1161	0.3589	164
58.5037	0.027	165
68.3994	0.298	165
68.679	0.3027	165
79.1703	0.8683	165
84.3181	0.9531	165
84.7937	0.9591	165
61.2419	0.0598	166
62.4431	0.0713	166
68.3105	0.1335	166
72.7739	0.2311	166
76.5382	0.3241	166
78.2204	0.361	166
78.7336	0.3724	166
57.7399	0.1196	167
58.2675	0.1205	167
65.8612	0.167	167
66.8586	0.1979	167
68.541	0.1787	167
76.1917	0.2066	167
82.2848	0.2817	167
64.5615	-0.0144	168
65.3185	0.0019	168
65.9907	-0.0043	168
67.1515	0.0059	168
68.5067	-0.0088	168
70.2444	0.0048	168
71.8122	0.0062	168
76.0416	-0.0028	168
77.5318	0.0057	168
53.1413	0.0161	169
55.044	0.0159	169
55.5271	0.0133	169
58.2405	0.0376	169
65.0748	0.3489	169
72.0066	0.8564	169
79.0062	0.9812	169
72.0431	0.3221	170
73.2607	0.3575	170
75.99	0.4982	170
76.3695	0.4984	170
76.5607	0.5204	170
77.4392	0.5507	170
79.0552	0.64	170
82.8356	0.7845	170
83.2978	0.8006	170
60.6756	0.1699	171
65.2312	0.2122	171
65.6973	0.2143	171
67.441	0.2656	171
68.8435	0.2646	171
73.396	0.324	171
76.4305	0.3542	171
78.0027	0.404	171
82.926	0.4728	171
63.1234	0.1409	172
63.4718	0.1068	172
65.8626	0.1688	172
66.1189	0.1608	172
