id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM
64,0.000000,0.054842,0.661635
65,0.000000,0.046803,7.685372
66,0.000000,0.596674,-1.510935
67,0.000000,-0.160659,17.266912
68,0.000000,-0.453970,5.725201
69,0.000000,-0.226728,5.656349
70,0.000000,-0.534575,6.486390
71,0.000000,-0.873161,10.025551
72,0.000000,-0.744639,0.297500
73,0.000000,0.088963,-1.911981
74,0.000000,0.230772,3.775459
75,0.000000,-0.670805,2.863506
76,0.000000,0.043709,2.533352
77,0.000000,0.263539,-9.517606
78,0.000000,0.579253,2.757886
79,0.000000,-0.416072,-1.962819
80,0.000000,0.328330,14.469302
81,0.000000,-0.416800,-6.389863
82,0.000000,-0.268062,0.907331
83,0.000000,-0.237038,0.161390
84,0.000000,-0.355980,-5.540781
85,0.000000,-1.015127,5.308403
86,0.000000,0.291285,2.379187
87,0.000000,0.613081,-9.693709
88,0.000000,-0.056178,-1.276641
89,0.000000,-0.053039,-13.228986
90,0.000000,0.369588,5.789484
91,0.000000,-0.035622,7.354560
92,0.000000,-0.467551,-6.963344
93,0.000000,-0.125773,-9.748902
94,0.000000,0.049511,7.741010
95,0.000000,-0.097752,-6.712256
96,0.000000,0.220226,-5.141448
97,0.000000,0.024241,0.274900
98,0.000000,0.408273,-9.753587
99,0.000000,-0.099746,6.020964
100,0.000000,0.374341,-4.427697
101,0.000000,0.623952,-5.757218
102,0.000000,0.012135,4.399198
103,0.000000,0.091064,9.688123
104,0.000000,0.452454,-6.491442
105,0.000000,0.083650,9.511205
106,0.000000,1.192605,-0.498259
107,0.000000,-0.705543,-10.296546
108,0.000000,0.697713,-4.821760
109,0.000000,0.408840,-5.548929
110,0.000000,-0.702706,-4.975472
111,0.000000,0.226713,-15.606741
112,0.000000,-0.505538,-1.222494
113,0.000000,0.302940,-3.555946
114,0.000000,-0.852929,-1.171582
115,0.000000,-0.131410,-0.982048
116,0.000000,0.221011,-9.342626
117,0.000000,0.147690,8.262681
118,0.000000,-0.780673,15.510069
119,0.000000,1.093323,-9.383158
120,0.000000,0.479861,11.560624
121,0.000000,0.007997,-4.232563
122,0.000000,-0.166114,12.803592
123,0.000000,0.027585,14.523636
124,0.000000,-0.020863,8.520874
125,0.000000,0.147444,2.683002
126,0.000000,-0.721806,3.920177
127,0.000000,-0.450119,9.710766
128,0.000000,-1.281276,19.018606
129,0.000000,0.367195,11.125383
130,0.000000,-0.698980,15.124256
131,0.000000,0.396470,-10.562185
132,0.000000,-0.520577,-0.795257
133,0.000000,0.253778,-1.171901
134,0.000000,0.300999,3.995996
135,0.000000,-0.795371,8.011652
136,0.000000,1.300011,-4.530830
137,0.000000,0.030825,3.463945
138,0.000000,1.338605,-7.582350
139,0.000000,-0.390573,-14.988150
140,0.000000,-0.703371,10.395765
141,0.000000,-0.316371,-0.119353
142,0.000000,0.111156,-13.869280
143,0.000000,0.195242,2.926819
144,0.000000,-0.392709,-4.985982
145,0.000000,0.501563,7.035465
146,0.000000,0.135162,-4.615969
147,0.000000,0.537470,-14.392067
148,0.000000,-0.092990,-3.032322
149,0.000000,0.040254,0.767248
150,0.000000,-0.027770,1.284681
151,0.000000,-0.997980,15.567895
152,0.000000,-0.300698,0.149187
153,0.000000,-0.015341,3.504848
154,0.000000,0.325512,11.420008
155,0.000000,-0.504299,4.936778
156,0.000000,0.040638,12.031665
157,0.000000,0.640696,-7.759560
158,0.000000,-0.120138,-10.503768
159,0.000000,-0.125826,6.824818
160,0.000000,-0.170688,2.797424
161,0.000000,0.403033,3.130662
162,0.000000,-0.215300,16.779767
163,0.000000,-0.530029,8.192701
164,0.000000,-1.021998,12.489308
165,0.000000,0.345243,-4.150647
166,0.000000,-0.353127,5.135198
167,0.000000,-1.506271,22.564675
168,0.000000,0.665753,15.644269
169,0.000000,0.669112,-8.727250
170,0.000000,0.074035,-0.335893
171,0.000000,-0.996561,4.172186
172,0.000000,-0.200377,-0.432794
173,0.000000,0.586751,-6.989769
174,0.000000,-0.930396,4.107685
175,0.000000,-0.501517,-0.600021
176,0.000000,0.035952,-6.858780
177,0.000000,0.490899,9.431619
178,0.000000,0.065857,9.315182
179,0.000000,0.242405,-5.405937
180,0.000000,-0.032046,-9.432814
181,0.000000,0.807172,-1.283439
182,0.000000,-1.006584,-0.431218
183,0.000000,-0.350618,0.833358
184,0.000000,0.003669,-1.962263
185,0.000000,0.592102,0.967530
186,0.000000,0.107575,-1.797498
187,0.000000,1.130648,-10.837456
188,0.000000,0.127062,3.311495
189,0.000000,-0.701181,2.733716
190,0.000000,0.857205,-1.675846
191,0.000000,-0.171068,-0.092125
192,0.000000,0.352180,-13.429259
193,0.000000,-0.644733,17.757052
194,0.000000,0.264893,-4.500608
195,0.000000,-0.002160,-4.686818
196,0.000000,0.259154,-7.133707
197,0.000000,0.415270,-0.528780
198,0.000000,1.258830,-0.878641
199,0.000000,0.293637,-7.484584
200,0.000000,-0.445937,-3.566993
201,0.000000,-0.615930,11.660790
202,0.000000,-0.964281,4.664207
203,0.000000,-0.452808,-4.394326
204,0.000000,-0.393625,-5.253075
205,0.000000,0.996733,-3.055521
206,0.000000,0.352163,5.898331
207,0.000000,-0.270744,4.844059
208,0.000000,0.236714,7.504078
209,0.000000,0.321842,3.056275
210,0.000000,-0.710066,-3.420446
211,0.000000,-0.581530,1.502275
212,0.000000,0.425228,-9.589668
213,0.000000,-0.101387,6.651972
214,0.000000,0.595674,5.724440
215,0.000000,0.719620,-10.413508
216,0.000000,0.271246,0.232973
217,0.000000,0.642744,-5.848811
218,0.000000,0.048448,0.237516
219,0.000000,-0.297997,7.117144
220,0.000000,0.289284,1.685951
221,0.000000,-0.588019,-0.120662
222,0.000000,0.666838,5.762717
223,0.000000,-0.675307,2.055073
224,0.000000,-1.004956,13.816436
225,0.000000,-1.219508,8.682234
226,0.000000,0.340548,-7.680547
227,0.000000,-0.715307,3.213767
228,0.000000,-0.643308,2.658509
229,0.000000,-0.531501,-3.635204
230,0.000000,0.234678,10.396962
231,0.000000,0.041722,-1.541850
232,0.000000,0.486046,-1.496045
233,0.000000,0.310809,-7.581807
234,0.000000,-0.083908,-7.718907
235,0.000000,-0.501081,-6.075343
236,0.000000,0.020375,1.025287
237,0.000000,0.349092,-11.451684
238,0.000000,0.078702,4.607315
239,0.000000,-0.144844,3.083315
240,0.000000,-0.682625,0.843541
241,0.000000,-0.278823,-10.235171
242,0.000000,-0.208429,1.056574
243,0.000000,-0.443055,9.959645
244,0.000000,-0.577146,2.598851
245,0.000000,-0.656773,-6.573762
246,0.000000,0.376123,-2.984687
247,0.000000,-0.867789,4.338613
248,0.000000,-0.139045,-1.056302
249,0.000000,0.212676,-10.802717
250,0.000000,0.252854,-10.070155
