"","datasize","algo","variable","iter"
"155",5000,"SAGA","X1",2702
"156",6000,"SAGA","X1",2412
"157",7000,"SAGA","X1",2230
"158",8000,"SAGA","X1",3121
"159",9000,"SAGA","X1",3433
"160",10000,"SAGA","X1",2409
"161",1000,"SAGA","X2",420
"162",2000,"SAGA","X2",1300
"163",3000,"SAGA","X2",1683
"164",4000,"SAGA","X2",1804
"165",5000,"SAGA","X2",1879
"166",6000,"SAGA","X2",2326
"167",7000,"SAGA","X2",3141
"168",8000,"SAGA","X2",2183
"169",9000,"SAGA","X2",4675
"170",10000,"SAGA","X2",3296
"171",1000,"SAGA","X3",633
"172",2000,"SAGA","X3",1556
"173",3000,"SAGA","X3",1255
"174",4000,"SAGA","X3",1980
"175",5000,"SAGA","X3",2783
"176",6000,"SAGA","X3",2176
"177",7000,"SAGA","X3",2707
"178",8000,"SAGA","X3",2896
"179",9000,"SAGA","X3",2810
"180",10000,"SAGA","X3",2327
"181",1000,"SAGA","X4",799
"182",2000,"SAGA","X4",1047
"183",3000,"SAGA","X4",1635
"184",4000,"SAGA","X4",2922
"185",5000,"SAGA","X4",3735
"186",6000,"SAGA","X4",2350
"187",7000,"SAGA","X4",2524
"188",8000,"SAGA","X4",2078
"189",9000,"SAGA","X4",2489
"190",10000,"SAGA","X4",3876
"191",1000,"SAGA","X5",358
"192",2000,"SAGA","X5",1400
"193",3000,"SAGA","X5",1459
"194",4000,"SAGA","X5",1981
"195",5000,"SAGA","X5",2560
"196",6000,"SAGA","X5",2043
"197",7000,"SAGA","X5",3995
"198",8000,"SAGA","X5",3742
"199",9000,"SAGA","X5",2865
"200",10000,"SAGA","X5",2842
