rep,id,eta_Tlag,eta_Tk0,eta_Vol,eta_Cl,eta_ke0,eta_IC50,eta_gamma,eta_s,eta_d,eta_beta,eta_delta,eta_p,eta_c
1,22,-2.79707426639517,0.845868539813279,0,0,0,0,0,0,0,0,0,0,0
1,23,-0.498607007336751,0.165955899900337,0,0,0,0,0,0,0,0,0,0,0
1,24,-0.25919813142799,0.385023243619223,0,0,0,0,0,0,0,0,0,0,0
1,25,-2.26871295863431,0.243203365005825,0,0,0,0,0,0,0,0,0,0,0
1,26,2.45979378821607,-1.13813563023095,0,0,0,0,0,0,0,0,0,0,0
1,27,-3.9343716781324,0.143543587380489,0,0,0,0,0,0,0,0,0,0,0
1,28,1.18741667221879,0.101924438437213,0,0,0,0,0,0,0,0,0,0,0
1,29,5.31524161690298,1.3556327486772,0,0,0,0,0,0,0,0,0,0,0
1,30,-3.45605617604129,0.837063114373671,0,0,0,0,0,0,0,0,0,0,0
1,31,2.33312406303198,0.301229891084228,0,0,0,0,0,0,0,0,0,0,0
1,32,-2.419191873165,-0.318092623103624,0,0,0,0,0,0,0,0,0,0,0
1,33,-4.62450700638742,0.302308047697852,0,0,0,0,0,0,0,0,0,0,0
1,34,1.46685706801847,-0.00783936241205385,0,0,0,0,0,0,0,0,0,0,0
1,35,-0.930748067848162,-0.334211448616532,0,0,0,0,0,0,0,0,0,0,0
1,36,0.598860238214638,0.512092387232852,0,0,0,0,0,0,0,0,0,0,0
1,37,-1.9071133675001,-0.595277088804895,0,0,0,0,0,0,0,0,0,0,0
1,38,0.074591895022448,-0.215670162920625,0,0,0,0,0,0,0,0,0,0,0
1,39,-2.16104504746435,0.155106532389738,0,0,0,0,0,0,0,0,0,0,0
1,40,-1.24113700035773,0.257516136958214,0,0,0,0,0,0,0,0,0,0,0
1,41,-3.19944941931719,-0.766496391074087,0,0,0,0,0,0,0,0,0,0,0
1,42,-0.254312399521233,-0.740977315789138,0,0,0,0,0,0,0,0,0,0,0
1,43,-1.33623787128184,0.439521193132748,0,0,0,0,0,0,0,0,0,0,0
1,44,3.69155499845685,0.171625052172725,0,0,0,0,0,0,0,0,0,0,0
1,45,-1.06969240076683,-0.246133884969691,0,0,0,0,0,0,0,0,0,0,0
1,46,-2.31442703382985,0.110571371140763,0,0,0,0,0,0,0,0,0,0,0
1,47,-1.89355798687829,-0.423375406905928,0,0,0,0,0,0,0,0,0,0,0
1,48,1.44687202851204,-0.0397501711487121,0,0,0,0,0,0,0,0,0,0,0
1,49,5.5363315791754,0.541793891750665,0,0,0,0,0,0,0,0,0,0,0
1,50,1.26976700678453,-0.708910347686378,0,0,0,0,0,0,0,0,0,0,0
1,51,-0.512363977555543,-0.475410073490259,0,0,0,0,0,0,0,0,0,0,0
1,52,3.65196509902905,-0.509078217249143,0,0,0,0,0,0,0,0,0,0,0
1,53,-1.55465683764372,0.21590494007074,0,0,0,0,0,0,0,0,0,0,0
1,54,4.88536386688752,-0.106940365953538,0,0,0,0,0,0,0,0,0,0,0
1,55,-3.66844018680868,-0.121542026405725,0,0,0,0,0,0,0,0,0,0,0
1,56,-0.0865030258944888,0.217413931332209,0,0,0,0,0,0,0,0,0,0,0
1,57,-3.17865810070707,0.430653087859981,0,0,0,0,0,0,0,0,0,0,0
1,58,-5.43885351258003,-0.129646309186165,0,0,0,0,0,0,0,0,0,0,0
1,59,1.05156129670604,-1.01157755219821,0,0,0,0,0,0,0,0,0,0,0
1,60,-6.66838223589,0.465459132804501,0,0,0,0,0,0,0,0,0,0,0
1,61,2.21302750520279,0.786602105880267,0,0,0,0,0,0,0,0,0,0,0
1,62,-0.313046224591236,-0.43044063286816,0,0,0,0,0,0,0,0,0,0,0
1,63,0.85913385605603,-1.09562097585204,0,0,0,0,0,0,0,0,0,0,0
1,64,-2.29306160802957,0.573005215931427,0,0,0,0,0,0,0,0,0,0,0
1,65,-1.62648650078318,-0.265517296291402,0,0,0,0,0,0,0,0,0,0,0
1,66,0.773262964702747,0.408645442740304,0,0,0,0,0,0,0,0,0,0,0
1,67,1.33514959916504,-0.998701248724948,0,0,0,0,0,0,0,0,0,0,0
1,68,1.9641916732534,-0.53367438762198,0,0,0,0,0,0,0,0,0,0,0
1,69,1.91606963260442,0.140581717117989,0,0,0,0,0,0,0,0,0,0,0
1,70,2.14979664614663,0.479284129975244,0,0,0,0,0,0,0,0,0,0,0
1,71,-3.17218727235004,-0.764712568800104,0,0,0,0,0,0,0,0,0,0,0
1,72,5.33471401142136,0.0375296331290323,0,0,0,0,0,0,0,0,0,0,0
1,73,-1.39335792706943,-1.0853922082324,0,0,0,0,0,0,0,0,0,0,0
1,74,-5.15912728152005,-0.359018686747588,0,0,0,0,0,0,0,0,0,0,0
1,75,5.46199595805985,0.501941645732609,0,0,0,0,0,0,0,0,0,0,0
1,76,6.14571347502354,-0.269934404503492,0,0,0,0,0,0,0,0,0,0,0
1,77,4.18526839449036,0.428557964954158,0,0,0,0,0,0,0,0,0,0,0
1,78,2.6301280615277,-0.24585931075178,0,0,0,0,0,0,0,0,0,0,0
1,79,1.47497840073405,-0.0198783452512444,0,0,0,0,0,0,0,0,0,0,0
1,80,-1.48651914012899,-0.416453610676447,0,0,0,0,0,0,0,0,0,0,0
1,81,4.75524007268289,0.348940890734484,0,0,0,0,0,0,0,0,0,0,0
1,82,-2.81172259978126,-0.0142847249451748,0,0,0,0,0,0,0,0,0,0,0
1,83,-5.70442884591796,-0.425060540334619,0,0,0,0,0,0,0,0,0,0,0
1,84,-5.64136269719606,0.117349977087818,0,0,0,0,0,0,0,0,0,0,0
1,85,-2.41550009517304,0.679252686753967,0,0,0,0,0,0,0,0,0,0,0
1,86,3.84316321718017,-0.238954686460769,0,0,0,0,0,0,0,0,0,0,0
1,87,1.42776196795783,-0.362650527981749,0,0,0,0,0,0,0,0,0,0,0
1,88,-1.22712408247457,-0.073653594404973,0,0,0,0,0,0,0,0,0,0,0
1,89,-0.55397270193161,0.723272286281735,0,0,0,0,0,0,0,0,0,0,0
1,90,-0.23202996180019,0.101939789147977,0,0,0,0,0,0,0,0,0,0,0
1,91,3.97760485403139,-0.694532216471457,0,0,0,0,0,0,0,0,0,0,0
1,92,4.82371286879746,-0.700907700306709,0,0,0,0,0,0,0,0,0,0,0
1,93,-0.485098209836565,0.294966222602632,0,0,0,0,0,0,0,0,0,0,0
1,94,-1.10143687981565,0.282900307141931,0,0,0,0,0,0,0,0,0,0,0
1,95,-2.93242240247157,-0.0179991613053332,0,0,0,0,0,0,0,0,0,0,0
1,96,2.34537453395565,-0.34908500526606,0,0,0,0,0,0,0,0,0,0,0
1,97,1.08016587104404,0.173064706302103,0,0,0,0,0,0,0,0,0,0,0
1,98,0.578186485113183,1.60725569304483,0,0,0,0,0,0,0,0,0,0,0
1,99,0.959400463536693,-0.172154570774666,0,0,0,0,0,0,0,0,0,0,0
1,100,-2.09710392623765,0.371193645143122,0,0,0,0,0,0,0,0,0,0,0
