id,eta_p0_SAEM,eta_alpha_SAEM,eta_tau_SAEM
100,0.000000,0.367435,-2.221372
101,0.000000,0.624796,-2.760172
102,0.000000,-0.033246,5.435166
103,0.000000,0.138784,10.656144
104,0.000000,0.448616,-3.997543
105,0.000000,0.054280,10.694664
106,0.000000,1.190491,3.598397
107,0.000000,-0.697257,-14.362173
108,0.000000,0.704388,-1.666745
109,0.000000,0.409981,-3.211529
110,0.000000,-0.705155,-9.184337
111,0.000000,0.213452,-13.948248
112,0.000000,-0.497507,-3.588219
113,0.000000,0.298573,-1.566704
114,0.000000,-0.834814,-6.801021
115,0.000000,-0.126956,-0.899755
116,0.000000,0.218395,-7.642071
117,0.000000,0.143930,9.610458
118,0.000000,-0.857179,11.036097
119,0.000000,1.092410,-5.442337
120,0.000000,0.530245,13.678095
121,0.000000,-0.003577,-3.519924
122,0.000000,-0.180628,12.679604
123,0.000000,0.018334,15.358576
124,0.000000,-0.020068,9.094074
125,0.000000,0.134479,3.980642
126,0.000000,-0.723888,-0.459350
127,0.000000,-0.465337,7.705304
128,0.000000,-1.293685,7.006950
129,0.000000,0.353942,13.334796
130,0.000000,-0.695108,10.858611
131,0.000000,0.387820,-8.305311
132,0.000000,-0.533315,-3.500489
133,0.000000,0.247736,0.631425
134,0.000000,0.356682,5.673308
135,0.000000,-0.825448,2.818722
136,0.000000,1.296365,-0.281301
137,0.000000,0.020955,4.339087
138,0.000000,1.284225,-3.368063
139,0.000000,-0.393880,-16.591924
140,0.000000,-0.820727,6.692276
141,0.000000,-0.318121,-1.152062
142,0.000000,0.112650,-12.599992
143,0.000000,0.200894,4.468400
144,0.000000,-0.398109,-6.663891
145,0.000000,0.421085,10.221081
146,0.000000,0.130674,-3.279564
147,0.000000,0.538104,-11.642895
148,0.000000,-0.094117,-2.763697
149,0.000000,0.032257,1.674111
150,0.000000,-0.011964,1.838453
151,0.000000,-1.038891,7.991543
152,0.000000,-0.308272,-0.936114
153,0.000000,-0.023707,4.144476
154,0.000000,0.863157,11.470918
155,0.000000,-0.511832,2.471993
156,0.000000,0.035831,12.892795
157,0.000000,0.631246,-4.758818
158,0.000000,-0.122427,-10.396110
159,0.000000,-0.126791,6.928391
160,0.000000,-0.188179,2.499747
161,0.000000,0.254133,5.709688
162,0.000000,-0.263311,16.418326
163,0.000000,-0.540742,5.458079
164,0.000000,-1.022380,4.571002
165,0.000000,0.344856,-2.002343
166,0.000000,-0.347572,3.801110
167,0.000000,-1.487822,6.137954
168,0.000000,0.855611,18.155721
169,0.000000,0.671289,-5.627830
170,0.000000,0.066737,0.678829
171,0.000000,-0.999611,-3.467223
172,0.000000,-0.186916,-0.807832
173,0.000000,0.598875,-4.050916
174,0.000000,-0.940323,-2.525698
175,0.000000,-0.506466,-3.011284
176,0.000000,0.030481,-6.019507
177,0.000000,0.581592,10.297005
178,0.000000,0.090554,10.525459
179,0.000000,0.237896,-3.637642
180,0.000000,-0.032395,-8.871780
181,0.000000,0.795164,2.055579
182,0.000000,-0.993998,-8.045167
183,0.000000,-0.344920,-0.434778
184,0.000000,-0.002214,-1.226362
185,0.000000,0.591017,3.867509
186,0.000000,0.105446,-0.605322
187,0.000000,1.144095,-6.780084
188,0.000000,0.127566,4.649796
189,0.000000,-0.705433,-1.523944
190,0.000000,0.853453,1.820123
191,0.000000,-0.169170,-0.253675
192,0.000000,0.358047,-11.227888
193,0.000000,-0.660005,14.164731
194,0.000000,0.259802,-2.657496
195,0.000000,-0.008393,-4.002867
196,0.000000,0.261343,-5.282523
197,0.000000,0.410008,1.836398
198,0.000000,1.250762,3.281718
199,0.000000,0.290646,-5.495293
200,0.000000,-0.443040,-5.520708
201,0.000000,-0.614073,8.177709
202,0.000000,-0.977772,-2.642621
203,0.000000,-0.449301,-6.410803
204,0.000000,-0.387541,-6.773571
205,0.000000,0.974466,0.671781
206,0.000000,0.351003,8.055283
207,0.000000,-0.278782,4.005093
208,0.000000,0.259500,9.006938
209,0.000000,0.321087,5.118338
210,0.000000,-0.721539,-7.816281
211,0.000000,-0.585454,-1.625435
212,0.000000,0.432078,-7.118849
213,0.000000,-0.100959,6.855370
214,0.000000,0.597086,8.629296
215,0.000000,0.693535,-7.293758
216,0.000000,0.271082,2.093794
217,0.000000,0.725552,-2.156622
218,0.000000,0.045841,1.170787
219,0.000000,-0.364409,6.558211
220,0.000000,0.278381,3.614653
221,0.000000,-0.587958,-3.272443
222,0.000000,0.549428,9.232624
223,0.000000,-0.679648,-1.964393
224,0.000000,-1.105757,7.762315
225,0.000000,-1.221098,-2.241053
226,0.000000,0.344850,-5.507522
227,0.000000,-0.703987,-1.133030
228,0.000000,-0.635632,-0.927250
229,0.000000,-0.534106,-6.357425
230,0.000000,0.216560,12.102281
231,0.000000,0.033618,-0.607092
232,0.000000,0.477946,1.062872
233,0.000000,0.306135,-5.583705
234,0.000000,-0.089445,-7.446048
235,0.000000,-0.502864,-8.573631
236,0.000000,0.018872,1.855944
237,0.000000,0.342359,-9.313635
238,0.000000,0.088179,5.639925
239,0.000000,-0.150965,3.000923
240,0.000000,-0.668426,-3.053676
241,0.000000,-0.288733,-11.143383
242,0.000000,-0.204596,0.714329
243,0.000000,-0.465298,7.938029
244,0.000000,-0.569838,-0.356327
245,0.000000,-0.658091,-10.335972
246,0.000000,0.374138,-0.755706
247,0.000000,-0.871271,-1.687629
248,0.000000,-0.143037,-1.083459
249,0.000000,0.210645,-9.136953
250,0.000000,0.245078,-8.333350
