alpha_abscissa,alpha_cdf,tau_abscissa,tau_cdf,split
0.0395934,0.404,72.7887,0.404,All
0.0398718,0.408,72.8339,0.408,All
0.0400402,0.412,72.838,0.412,All
0.0401821,0.416,72.8925,0.416,All
0.040804,0.42,72.977,0.42,All
0.0411555,0.424,72.9949,0.424,All
0.0413367,0.428,73.0233,0.428,All
0.0414899,0.432,73.1919,0.432,All
0.0417309,0.436,73.2064,0.436,All
0.041813,0.44,73.2149,0.44,All
0.0419876,0.444,73.2816,0.444,All
0.0419999,0.448,73.3096,0.448,All
0.0421705,0.452,73.3411,0.452,All
0.0424001,0.456,73.3618,0.456,All
0.0424258,0.46,73.3872,0.46,All
0.0424902,0.464,73.4084,0.464,All
0.0427528,0.468,73.4333,0.468,All
0.042885,0.472,73.4578,0.472,All
0.0429118,0.476,73.5762,0.476,All
0.043003,0.48,73.5895,0.48,All
0.0432742,0.484,73.6102,0.484,All
0.0438736,0.488,73.6476,0.488,All
0.0443578,0.492,74.0019,0.492,All
0.0448422,0.496,74.017,0.496,All
0.04485,0.5,74.019,0.5,All
0.044939,0.504,74.0695,0.504,All
0.0451272,0.508,74.2927,0.508,All
0.04519,0.512,74.3014,0.512,All
0.0454957,0.516,74.3165,0.516,All
0.0455145,0.52,74.3211,0.52,All
0.045519,0.524,74.365,0.524,All
0.0456589,0.528,74.5474,0.528,All
0.0462039,0.532,74.6662,0.532,All
0.0462363,0.536,74.6816,0.536,All
0.0462526,0.54,74.7169,0.54,All
0.0464901,0.544,74.7583,0.544,All
0.0466999,0.548,74.8349,0.548,All
0.0471952,0.552,74.9082,0.552,All
0.0472065,0.556,75.1014,0.556,All
0.0472924,0.56,75.1674,0.56,All
0.047403,0.564,75.2319,0.564,All
0.047655,0.568,75.2496,0.568,All
0.0478129,0.572,75.2731,0.572,All
0.0479334,0.576,75.3341,0.576,All
0.0479876,0.58,75.4182,0.58,All
0.0481603,0.584,75.4415,0.584,All
0.0484667,0.588,75.5532,0.588,All
0.0487565,0.592,75.5767,0.592,All
0.0487943,0.596,75.8437,0.596,All
0.0489291,0.6,75.8982,0.6,All
0.0490934,0.604,76.0603,0.604,All
0.0498044,0.608,76.1469,0.608,All
0.0499048,0.612,76.4034,0.612,All
0.0499371,0.616,76.5022,0.616,All
0.050559,0.62,76.5601,0.62,All
0.0516464,0.624,76.7105,0.624,All
0.0517741,0.628,76.8918,0.628,All
0.0522626,0.632,76.9223,0.632,All
0.052577,0.636,76.9345,0.636,All
0.0528199,0.64,77.0113,0.64,All
0.0531504,0.644,77.0956,0.644,All
0.0538802,0.648,77.1298,0.648,All
0.0541947,0.652,77.1791,0.652,All
0.0544843,0.656,77.2048,0.656,All
0.0548035,0.66,77.2138,0.66,All
0.0551234,0.664,77.2697,0.664,All
0.0553077,0.668,77.2952,0.668,All
0.0557193,0.672,77.3191,0.672,All
0.0563587,0.676,77.3803,0.676,All
0.0563622,0.68,77.4017,0.68,All
0.0566478,0.684,77.4944,0.684,All
0.0573999,0.688,77.5541,0.688,All
0.0575236,0.692,77.666,0.692,All
0.0579377,0.696,77.7664,0.696,All
0.0581236,0.7,77.8849,0.7,All
0.0583984,0.704,77.9011,0.704,All
0.0585606,0.708,77.94,0.708,All
0.0586945,0.712,78.2272,0.712,All
0.0592419,0.716,78.2418,0.716,All
0.0604132,0.72,78.5874,0.72,All
0.0604355,0.724,78.6138,0.724,All
0.0604671,0.728,78.6342,0.728,All
0.0605917,0.732,78.7367,0.732,All
0.0606933,0.736,78.7702,0.736,All
0.0609076,0.74,78.9611,0.74,All
0.0611655,0.744,79.0634,0.744,All
0.0613484,0.748,79.1042,0.748,All
0.0615761,0.752,79.1894,0.752,All
0.0621534,0.756,79.2179,0.756,All
0.0622458,0.76,79.306,0.76,All
0.0622498,0.764,79.4311,0.764,All
0.0623622,0.768,79.6386,0.768,All
0.0624969,0.772,79.741,0.772,All
0.0630213,0.776,79.9145,0.776,All
0.0630363,0.78,79.9376,0.78,All
0.0631277,0.784,79.9943,0.784,All
0.0632336,0.788,80.0494,0.788,All
0.0636794,0.792,80.0999,0.792,All
0.0644021,0.796,80.1029,0.796,All
0.0654111,0.8,80.2184,0.8,All
0.0659487,0.804,80.3666,0.804,All
0.0664651,0.808,80.4463,0.808,All
0.0665397,0.812,80.5613,0.812,All
0.0666122,0.816,80.8489,0.816,All
0.0669405,0.82,81.007,0.82,All
0.0671067,0.824,81.0109,0.824,All
0.06738,0.828,81.0744,0.828,All
0.0678936,0.832,81.3387,0.832,All
0.0679033,0.836,81.4685,0.836,All
0.0691166,0.84,81.4914,0.84,All
0.0697303,0.844,82.0055,0.844,All
0.0698722,0.848,82.1669,0.848,All
0.0699517,0.852,82.3824,0.852,All
0.0739129,0.856,82.5833,0.856,All
0.0743648,0.86,82.6651,0.86,All
0.0749215,0.864,82.6654,0.864,All
0.075105,0.868,82.6827,0.868,All
0.0754134,0.872,82.7044,0.872,All
0.0756545,0.876,83.1667,0.876,All
0.0763188,0.88,83.1978,0.88,All
0.076512,0.884,83.5412,0.884,All
0.0767908,0.888,84.3562,0.888,All
0.0769461,0.892,84.9406,0.892,All
0.0785438,0.896,84.9735,0.896,All
0.078912,0.9,85.2755,0.9,All
0.0799432,0.904,85.2829,0.904,All
0.0802244,0.908,85.2974,0.908,All
0.0803764,0.912,85.3208,0.912,All
0.0810786,0.916,85.3839,0.916,All
0.0814865,0.92,85.8131,0.92,All
0.0842002,0.924,85.819,0.924,All
0.0843994,0.928,85.9198,0.928,All
0.0866593,0.932,85.9639,0.932,All
0.0889914,0.936,86.4749,0.936,All
0.0898501,0.94,86.4999,0.94,All
0.0904445,0.944,87.0153,0.944,All
0.0915498,0.948,87.1863,0.948,All
0.0929991,0.952,87.2255,0.952,All
0.0966132,0.956,87.4601,0.956,All
0.0967263,0.96,87.536,0.96,All
0.0969244,0.964,88.8241,0.964,All
0.101409,0.968,88.9391,0.968,All
0.108077,0.972,89.0581,0.972,All
0.117768,0.976,89.1042,0.976,All
0.129543,0.98,90.5144,0.98,All
0.135786,0.984,90.9262,0.984,All
0.139497,0.988,92.8722,0.988,All
0.141124,0.992,93.1819,0.992,All
0.151314,0.996,93.9988,0.996,All
0.157287,1,94.9994,1,All
