Tlag_abscissa,Tlag_cdf,ka_abscissa,ka_cdf,V_abscissa,V_cdf,alpha_abscissa,alpha_cdf,beta_abscissa,beta_cdf,split
0.00418186,0.683333,0.976413,0.683333,278.929,0.683333,13.5093,0.683333,0.212834,0.683333,All
0.00452226,0.7,0.986537,0.7,286.545,0.7,13.6524,0.7,0.212951,0.7,All
0.00485575,0.716667,1.00643,0.716667,294.367,0.716667,13.8056,0.716667,0.21347,0.716667,All
0.00540803,0.733333,1.17754,0.733333,295.595,0.733333,13.8339,0.733333,0.214025,0.733333,All
0.00638264,0.75,1.26149,0.75,297.294,0.75,13.8843,0.75,0.214771,0.75,All
0.00805034,0.766667,1.35438,0.766667,322.535,0.766667,14.4504,0.766667,0.215939,0.766667,All
0.00813967,0.783333,1.50376,0.783333,330.024,0.783333,14.6475,0.783333,0.216757,0.783333,All
0.00879252,0.8,1.56178,0.8,331.987,0.8,14.9341,0.8,0.224677,0.8,All
0.00880665,0.816667,1.56904,0.816667,333.605,0.816667,14.9461,0.816667,0.225348,0.816667,All
0.00978229,0.833333,1.57625,0.833333,341.678,0.833333,15.0104,0.833333,0.225695,0.833333,All
0.0103477,0.85,1.64082,0.85,350.602,0.85,15.3757,0.85,0.22943,0.85,All
0.011908,0.866667,1.68621,0.866667,385.157,0.866667,15.5352,0.866667,0.234167,0.866667,All
0.0125438,0.883333,1.86419,0.883333,393.844,0.883333,15.7451,0.883333,0.234576,0.883333,All
0.0140453,0.9,1.95457,0.9,406.567,0.9,15.7717,0.9,0.235692,0.9,All
0.0161887,0.916667,2.24537,0.916667,414.162,0.916667,17.3471,0.916667,0.235932,0.916667,All
0.0180876,0.933333,2.40737,0.933333,425.08,0.933333,17.5526,0.933333,0.239521,0.933333,All
0.0184296,0.95,2.46106,0.95,469.987,0.95,18.7705,0.95,0.241758,0.95,All
0.0191992,0.966667,3.19611,0.966667,503.522,0.966667,19.387,0.966667,0.242058,0.966667,All
0.0229845,0.983333,3.3933,0.983333,566.37,0.983333,19.4891,0.983333,0.245765,0.983333,All
0.0720643,1,8.58106,1,620.475,1,19.7545,1,0.24737,1,All
