time,id,TC_SAEM,IC_SAEM
0.45,11,2000,9000
0.81,11,2000,9000
1.57,11,2517.11,8518.19
2.06,11,3897.24,7361.89
2.52,11,5424.51,6236.89
3.15,11,7767.14,4686.81
3.46,11,8864.79,4047.43
3.97,11,10598.8,3110.47
4.53,11,12196.4,2388.76
5.04,11,13336.7,1981.6
5.11,11,13463.9,1947.93
6.07,11,14726.1,1743.69
6.9,11,14270.2,2698.92
8,11,6017.42,9673.67
8.78,11,2141.56,11360.1
10.11,11,1773.46,9811.12
11.27,11,1896.86,9233.91
12.99,11,1983.2,9023.42
14.95,11,1998.97,8999.99
0,12,2000,9000
0.35,12,2000,9000
1.03,12,2000.01,8999.99
1.31,12,2109.25,8894.46
2.21,12,4466.33,6928.98
2.46,12,5306.92,6321.35
3.01,12,7364.68,4932.94
3.51,12,9129.81,3902.27
4.11,12,11113.8,2861.31
4.58,12,12374.9,2324.52
5.06,12,13407.5,1970.45
5.07,12,13425.1,1966.1
6.04,12,14691.7,1765.24
7.13,12,13133.2,3790.14
7.94,12,6121.61,9584.37
9.11,12,1835.71,10864.5
10.11,12,1782.78,9769.03
10.93,12,1870.68,9325.57
13.02,12,1984.14,9022.04
14.9,12,1999,8999.99
0,13,2000,9000
0.5,13,2000,9000
0.99,13,2000,9000
1.49,13,2145.3,8862.22
1.95,13,2848.83,8245.66
2.48,13,3810.77,7525.5
2.88,13,4720.52,6880.98
3.5,13,6189.84,5945.41
3.89,13,7379.84,5164.93
4.53,13,9409.39,3943.87
4.92,13,10624.7,3269.74
5.09,13,11129.4,3007.17
6.09,13,13682.1,1841.67
7,13,14954.5,1617.56
8.1,13,11401.7,5344.29
9.05,13,3161.14,11362.4
10.09,13,1760.84,10491.9
10.95,13,1793.88,9669.29
13.06,13,1966.85,9054.78
15.09,13,1997.69,9001.17
0,14,2000,9000
0.67,14,2000,9000
0.99,14,2000,9000
1.47,14,2000,9000
1.97,14,2000,9000
2.33,14,2000,9000
2.97,14,2000,9000
3.54,14,2000,9000
3.9,14,2000,9000
4.41,14,2000,9000
5.06,14,2000,9000
5.08,14,2000,9000
5.92,14,2000,9000
6.99,14,2000,9000
7.9,14,2000,9000
9.08,14,2000,9000
9.93,14,2000,9000
10.95,14,2000,9000
12.92,14,2000,9000
14.99,14,2000,9000
0,15,2000,9000
0.48,15,2000,9000
0.91,15,2000,9000
1.46,15,2109,8896.23
2.13,15,3125.52,8028.35
2.51,15,3832.02,7508.84
3.05,15,5071.17,6647.9
3.3,15,5638,6294.06
4.13,15,8112.04,4699.61
4.42,15,9028.12,4157.28
4.92,15,10589.5,3285.51
5.1,15,11125.7,3006.1
5.94,15,13316.6,1992.12
6.8,15,14842.3,1525.04
7.94,15,12795.8,4106.44
8.92,15,4019.16,10975.5
9.92,15,1792.96,10756.9
11.03,15,1798.71,9634.48
13.14,15,1968.73,9050.8
14.89,15,1996.6,9003.22
0,16,2000,9000
0.49,16,2000,9000
1.12,16,2001.13,8998.9
1.53,16,2193.81,8817.23
2.11,16,3155.29,8003.38
2.47,16,3806.26,7529.73
2.94,16,4891.15,6763.82
3.58,16,6438.02,5784.53
4.13,16,8184.26,4659.15
4.33,16,8810.61,4288.49
4.89,16,10558.7,3305.33
5.07,16,11096.3,3023.87
5.9,16,13263,2018.12
7.07,16,14959.7,1680.36
8.03,16,11873.1,4927.02
8.9,16,3906.8,11027.6
10.1,16,1752.32,10469.7
10.92,16,1798.08,9674.83
13.09,16,1968.1,9052.9
15.08,16,1997.77,9001.33
0,17,2000,9000
0.53,17,2000,9000
1.14,17,2003.51,8996.6
1.44,17,2162.34,8845.47
1.95,17,3170.06,7963.7
2.59,17,5195.78,6405.01
3.05,17,6876.77,5257.18
3.47,17,8420.4,4302.81
3.9,17,9919.18,3465.31
4.61,17,12066.6,2433.93
4.93,17,12842.7,2134.86
5,17,12995.2,2082.64
5.99,17,14564.6,1717.56
6.93,17,14718.2,2262.72
7.96,17,8490.08,7828.41
8.98,17,2149.35,11382.5
10.04,17,1757.08,10058.8
11.06,17,1855.32,9378.28
12.86,17,1974.43,9040.64
15.05,17,1998.48,9000.95
0,18,2000,9000
0.55,18,2000,9000
0.99,18,2000,9000
1.64,18,2707.9,8348.16
2.04,18,3877.26,7376.54
2.38,18,4976.36,6557.19
3.08,18,7563.77,4809.63
3.56,18,9327.88,3763.13
3.96,18,10800.7,2938.75
4.52,18,12663.2,2011.46
5.06,18,14196.7,1348.5
5.94,18,16105,684.504
7.16,18,17725.5,329.074
8,18,18092.7,500.022
9.03,18,15205.4,3342.17
9.85,18,5434.85,11097.9
11.08,18,1663.33,11032.1
13,18,1872.92,9284.23
15.03,18,1986.05,9017.08
0,19,2000,9000
0.36,19,2000,9000
1.11,19,2000.96,8999.07
1.63,19,2364.6,8661.08
2.21,19,3389.39,7830.1
2.35,19,3633.21,7656.39
2.92,19,4923.92,6741.31
3.52,19,6328.42,5864.01
4.09,19,8132.04,4693.97
4.54,19,9528.68,3882.55
4.92,19,10712.8,3226.06
5.11,19,11267.2,2941.93
5.74,19,12914.2,2176.62
7.07,19,14911.4,1737.17
7.92,19,12338,4491.15
8.87,19,3824.92,11059
9.98,19,1766.65,10560.5
10.93,19,1805.03,9638.75
13.11,19,1970.24,9048.68
14.95,19,1997.44,9001.7
0,20,2000,9000
0.45,20,2000,9000
0.97,20,2000,9000
1.58,20,2207.44,8805.74
1.95,20,2755.6,8326.84
2.47,20,3984.19,7343.88
2.95,20,5567.51,6171.75
3.44,20,7344.62,4983.82
4.06,20,9688.7,3559.52
4.51,20,11298,2686.95
5,20,12885.3,1913.5
5.11,20,13211,1767.72
6.05,20,15528.8,868.859
7.01,20,17122,421.303
7.82,20,17955.4,294.36
8.81,20,18150.1,628.145
9.96,20,12053.9,6098.2
10.89,20,2513.4,12413.7
13,20,1791.93,9569.8
14.93,20,1965.67,9054.42
0,21,2000,9000
0.54,21,2000,9000
1.05,21,2000.09,8999.91
1.52,21,2404.36,8620.16
1.95,21,3539.5,7646.48
2.6,21,5697.3,6045.32
2.97,21,7092.39,5106.07
3.22,21,8010.48,4539.46
3.95,21,10527.3,3146.02
4.62,21,12416,2301.05
4.92,21,13095.7,2055.15
5.14,21,13513.8,1934.92
5.91,21,14569.9,1750.21
7.02,21,13914.4,3067.16
7.99,21,6184.55,9555.63
8.92,21,1991.48,11206.7
10.01,21,1768.72,9898.3
11.2,21,1896.22,9252.16
12.92,21,1982.78,9026.9
14.87,21,1998.84,9000.36
0,22,2000,9000
0.65,22,2000,9000
0.9,22,2000,9000
1.63,22,2765.9,8294.83
1.92,22,3660.92,7537.57
2.57,22,6245.83,5586.08
2.93,22,7812.36,4535.2
3.55,22,10395.9,3006.14
3.9,22,11703,2333.14
4.34,22,13149.8,1673.89
5.07,22,15052.1,967.738
5.17,22,15267.8,900.655
6.05,22,16792.1,504.081
6.96,22,17783.5,354.739
8.09,22,17660.9,1036.74
8.98,22,12062.9,6008.18
10.09,22,2080.61,12215.3
11,22,1662.11,10582.1
12.95,22,1903.9,9196.89
15.24,22,1993.32,9007.26
0,23,2000,9000
0.67,23,2000,9000
1.05,23,2000.02,8999.98
1.5,23,2097.83,8907.23
2.07,23,2799.54,8297.38
2.47,23,3542.04,7718.09
2.93,23,4532.69,7012.25
3.48,23,5850.85,6147.29
4.01,23,7430.27,5121.63
4.33,23,8458.63,4485.82
4.92,23,10323.4,3423.58
5.11,23,10894.5,3122.9
5.93,23,13090.8,2085.64
6.89,23,14867.5,1505.31
7.92,23,13638.6,3340.89
9.14,23,3455.1,11269.8
9.92,23,1823.61,10950.6
10.89,23,1773.87,9824.1
13.2,23,1965.5,9057.24
14.98,23,1996.53,9002.85
0,24,2000,9000
0.56,24,2000,9000
1,24,2000,9000
1.39,24,2073.26,8929.69
2.16,24,3256.23,7927.23
2.71,24,4349.83,7140.71
3,24,5052.22,6657.09
3.58,24,6451.63,5777.66
4.11,24,8136.75,4688.98
4.5,24,9353.67,3978.04
4.9,24,10602,3283.09
5,24,10903.4,3123.68
6.03,24,13572.2,1887.97
7.05,24,14949.4,1675.19
8.03,24,11791.8,4994.84
8.97,24,3448.9,11245.8
9.97,24,1767.23,10625.9
10.93,24,1800.18,9661.41
12.92,24,1962.1,9065.04
14.94,24,1997.08,9002.06
0,25,2000,9000
0.8,25,2000,9000
1.04,25,2000.01,8999.99
1.62,25,2490.09,8545.45
2.09,25,3710.56,7519.05
2.58,25,5340.33,6298.1
3.15,25,7446.28,4889.39
3.42,25,8452.88,4273.14
4.08,25,10893.3,2886.78
4.72,25,12994,1855.44
5.01,25,13821.7,1497.93
5.05,25,13929.5,1453.63
5.94,25,15939.2,732.659
6.96,25,17450.7,353.625
8.09,25,18163.7,440.557
8.93,25,16873.1,1875.25
9.93,25,6491.22,10406.7
11.03,25,1703.34,11460.1
13,25,1852.83,9345.17
15.15,25,1985.13,9018.12
0,26,2000,9000
0.48,26,2000,9000
1,26,2000,9000
1.47,26,2316.7,8700.5
2.05,26,3867.88,7384.74
2.3,26,4666.93,6781.92
2.79,26,6423.21,5548.07
3.45,26,8874.1,4028.16
3.86,26,10396.8,3158.53
4.46,26,12441.5,2114.54
4.97,26,13931.1,1455.13
4.99,26,13984.4,1433.36
6.05,26,16279.4,632.946
6.97,26,17537.6,346.733
7.94,26,18105.4,454.803
8.85,26,16478.5,2207.27
10.17,26,3038.38,12316.3
11.04,26,1662.27,11145.7
13.02,26,1873.26,9284.06
15.06,26,1985.71,9018.81
0,27,2000,9000
0.35,27,2000,9000
0.97,27,2000,9000
1.53,27,2453.29,8575.55
1.93,27,3535.63,7647.93
2.46,27,5257.2,6355.63
2.86,27,6744.74,5331.91
3.55,27,9296.67,3781.22
4.07,27,11195.3,2730.46
4.52,27,12668.5,2008.94
4.9,27,13776.1,1519.77
4.95,27,13911.5,1463.65
5.99,27,16196.2,657.666
7.08,27,17655.8,333.976
8,27,18096.5,497.429
9,27,15479.8,3102
9.87,27,5240.07,11232.8
10.99,27,1672.3,11205
13.04,27,1875.94,9272.72
15.06,27,1986.06,9016.92
0,28,2000,9000
0.56,28,2000,9000
0.92,28,2000,9000
1.68,28,2682.01,8373.92
1.91,28,3289.78,7855.95
2.45,28,5021.56,6524.36
2.99,28,7009.02,5162.18
3.53,28,9020.2,3935.92
3.9,28,10395.1,3154.86
4.38,28,12059.3,2293.03
4.99,28,13879.6,1473.41
5.09,28,14144,1366.44
5.98,28,16089,686.793
7.01,28,17546.4,340.083
7.84,28,18120.8,371.995
8.96,28,16407.4,2292.93
10.01,28,4890.56,11454.6
10.92,28,1719.11,11551.6
13,28,1860.41,9322.41
14.74,28,1976.53,9033.77
0,29,2000,9000
0.43,29,2000,9000
0.98,29,2000,9000
1.47,29,2125.04,8881.14
1.94,29,2833.36,8257.01
2.58,29,4552.66,6900.34
2.96,29,5923.17,5902.84
3.44,29,7819.44,4633.09
4.08,29,10352.9,3122.77
4.5,29,11863.6,2336.25
4.96,29,13312.3,1673.35
5.17,29,13898.5,1432.63
6.06,29,15894.1,745.709
7.32,29,17634.3,348.477
7.81,29,18049.1,302.371
9.28,29,18049.3,920.011
9.93,29,15181.2,3522.27
11.02,29,3047.25,12404.3
12.97,29,1746.21,9777.94
15.09,29,1961.85,9061.47
0,30,2000,9000
0.46,30,2000,9000
0.99,30,2000,9000
1.64,30,2787.61,8276.01
2.13,30,4416.94,6936.26
2.41,30,5547.49,6085.71
3.09,30,8485.71,4112.3
3.48,30,10104.9,3164.79
3.79,30,11294.1,2535.07
4.35,30,13170.5,1664.22
4.96,30,14797,1049.62
5.1,30,15111.8,948.062
5.92,30,16600.4,545.951
6.94,30,17768.9,352.265
8.11,30,17663.2,1041.86
9.04,30,11516.9,6466.13
9.9,30,2668.88,12348.8
11.19,30,1679.43,10341.4
12.98,30,1905.46,9191.95
14.9,30,1989.31,9013.31
0,31,2000,9000
0.49,31,2000,9000
0.9,31,2000,9000
1.4,31,2281.95,8731.37
1.98,31,3972.08,7282.47
2.5,31,6074.91,5702.72
3.15,31,8894.59,3859.34
3.58,31,10638.1,2873.22
4.12,31,12562.8,1927.12
4.5,31,13712.1,1443.08
4.96,31,14878.2,1023.38
4.98,31,14923.7,1008.54
6.08,31,16874.6,488.386
7.19,31,17926.2,392.504
7.88,31,17808.5,836.867
8.97,31,11128.9,6766.32
9.94,31,2243.82,12273.6
11.04,31,1671.02,10410.5
12.92,31,1908.93,9185.08
14.94,31,1991.22,9009.3
0,32,2000,9000
0.48,32,2000,9000
1.12,32,2002.68,8997.39
1.56,32,2408.42,8618.04
1.91,32,3259.46,7881.7
2.41,32,4844.36,6653.88
3.09,32,7338.19,4953.21
3.55,32,8994.67,3970.25
4.08,32,10770.5,3025.81
4.58,32,12191.8,2386.03
4.95,32,13053.2,2066.89
5.01,32,13177.4,2026.33
5.9,32,14525.5,1740.46
7.03,32,14194,2811.38
7.91,32,7795.03,8361.36
8.94,32,2067.64,11276.6
10.23,32,1783.25,9786.36
11.07,32,1869.53,9328.33
13.06,32,1981.7,9025.43
14.79,32,1998.39,8999.55
0,33,2000,9000
0.53,33,2000,9000
1.13,33,2003.31,8996.79
1.54,33,2336.69,8684.04
2.2,33,4036.13,7264.28
2.61,33,5429.77,6234.79
2.97,33,6757.26,5330.43
3.38,33,8267.74,4390.72
3.99,33,10372.5,3228.13
4.51,33,11926.5,2493.37
4.92,33,12922.6,2108.76
4.94,33,12965.9,2093.9
5.88,33,14479.6,1736.65
7.12,33,14086,2935.94
8.12,33,6265.31,9514.76
9.03,33,2009.48,11252.8
10,33,1769.88,10024.3
10.95,33,1854.01,9396.43
12.98,33,1974.76,9036.05
15.11,33,1994.24,9004.78
0,34,2000,9000
0.55,34,2000,9000
1.05,34,2000.05,8999.95
1.69,34,2711.16,8347.63
1.97,34,3481.27,7697.27
2.54,34,5354.24,6285.7
2.91,34,6724.43,5347.46
3.51,34,8910.58,4017.95
4.04,34,10701,3058.41
4.58,34,12237.9,2366.31
5.01,34,13216.5,2011.79
5.1,34,13390.8,1960.08
5.78,34,14403.2,1758.58
7.17,34,13566.9,3425.87
7.96,34,7053.66,8926.92
9.07,34,1906.15,11100.7
9.86,34,1747.36,10101.2
10.95,34,1859.58,9361.95
13.36,34,1988.47,9014.42
15.15,34,1999.23,8999.86
0,35,2000,9000
0.58,35,2000,9000
1,35,2000,9000
1.56,35,2573.1,8466.41
1.94,35,3700.96,7506.05
2.62,35,6417.32,5467.98
3.07,35,8371.44,4183.69
3.56,35,10395.4,3006.02
3.88,35,11596.4,2384.48
4.51,35,13619.9,1480.33
4.97,35,14804.8,1047.11
5.09,35,15075.4,959.613
6.11,35,16863.2,488.086
7.19,35,17931.6,364.364
7.91,35,17934.4,726.179
9.04,35,11656.4,6351.83
10.1,35,2099.89,12253
11.05,35,1660.22,10551.3
13.07,35,1915.28,9173.07
14.89,35,1989.03,9012.66
0,36,2000,9000
0.4,36,2000,9000
1.04,36,2000.02,8999.98
1.52,36,2349.38,8671.26
2.03,36,3660.78,7551.84
2.4,36,4973.35,6534.71
3.14,36,8082.54,4387.85
3.66,36,10225.2,3120.84
3.98,36,11435.2,2483.13
4.36,36,12722.7,1874.81
4.72,36,13790.3,1427.82
5.21,36,15012.1,987.771
6.12,36,16674.4,527.743
7.14,36,17828.8,331.747
7.98,36,18169.3,493.222
8.91,36,16074.9,2612.96
9.95,36,4442.97,11721.6
10.91,36,1684.39,11363.7
13.04,36,1877.35,9269.66
14.98,36,1985.16,9018.13
0,37,2000,9000
0.58,37,2000,9000
1.04,37,2000.01,8999.99
1.43,37,2087.38,8916.74
2.07,37,3005.14,8122.71
2.54,37,3881.79,7472.66
3.1,37,5166.07,6588.43
3.7,37,6711.26,5598.45
3.8,37,7022.13,5394.57
4.46,37,9133.36,4096.5
4.78,37,10135.5,3532.69
5.03,37,10898.8,3123.21
5.88,37,13155,2062.69
7.03,37,14987.5,1599.74
7.96,37,12756.6,4146.9
8.9,37,4241.88,10854.9
10.03,37,1768.18,10629.4
11.01,37,1807.48,9645.03
12.9,37,1956.16,9075.83
15.04,37,1996.66,9002.27
0,38,2000,9000
0.61,38,2000,9000
0.95,38,2000,9000
1.6,38,2279.14,8739.38
2.1,38,3136.86,8017.61
2.73,38,4379.32,7119.88
3.05,38,5142.08,6601.68
3.37,38,5867.59,6153.97
4.06,38,7955.03,4800.19
4.54,38,9461.49,3915.03
4.91,38,10615.4,3274.9
4.93,38,10676.4,3242.26
5.91,38,13283.2,2009.45
6.9,38,14914.2,1570.64
7.93,38,12609.2,4264.38
8.94,38,3676.73,11145.2
9.92,38,1781.66,10708.8
10.74,38,1775.92,9812.91
13.03,38,1965.31,9058.35
15.07,38,2002.36,8997.06
0,39,2000,9000
0.5,39,2000,9000
0.96,39,2000,9000
1.62,39,2548.81,8491.72
2.13,39,3965.5,7313.62
2.33,39,4614.14,6822.55
2.82,39,6368.2,5585.59
3.54,39,9056.28,3915.53
3.99,39,10717.8,2980.16
4.41,39,12153.6,2247.69
4.94,39,13741.1,1530.83
5,39,13904,1463.34
6.02,39,16159,666.033
6.98,39,17513.5,345.243
7.87,39,18125,383.445
9.06,39,15777.9,2856.47
9.93,39,5670.21,10964.6
11,39,1688.36,11385.5
12.88,39,1846.5,9367.46
14.88,39,1980.53,9026.82
0,40,2000,9000
0.52,40,2000,9000
0.99,40,2000,9000
1.58,40,2350.82,8672.15
1.99,40,3255.85,7893.76
2.43,40,4607.87,6836.8
2.93,40,6397.6,5573.38
3.49,40,8454.01,4285.2
4.24,40,10975.8,2931.06
4.63,40,12088.3,2426.88
4.95,40,12860.2,2130.65
4.96,40,12882.2,2123.02
5.96,40,14516.5,1723.86
6.96,40,14682.7,2303.58
8.02,40,8015.62,8198.79
9.11,40,2008.78,11250.5
10.01,40,1754.57,10103
11.08,40,1857.21,9373.61
13.06,40,1979.41,9030.08
15.02,40,1998.55,9001.6
0,41,2000,9000
0.52,41,2000,9000
0.88,41,2000,9000
1.46,41,2093.74,8910.84
2.04,41,2893.39,8214.1
2.38,41,3512.85,7743.44
2.97,41,4796.72,6834.69
3.31,41,5580.69,6331.39
3.81,41,6978.02,5422.27
4.43,41,8963.63,4193.43
4.97,41,10648.4,3253.81
5.08,41,10977.2,3081.9
5.96,41,13294.2,2000.79
6.99,41,14973.3,1557.26
7.89,41,13357.8,3592.42
8.83,41,5027.55,10373.1
10.12,41,1757.45,10553.4
10.95,41,1787.43,9717.77
12.92,41,1961.79,9071.36
15.14,41,1997.23,9002.12
0,42,2000,9000
0.4,42,2000,9000
0.85,42,2000,9000
1.6,42,2315.94,8705.19
2.07,42,3151.02,8004.41
2.45,42,3820.68,7522.05
2.8,42,4622.23,6948.54
3.55,42,6410.6,5808.9
3.97,42,7744.16,4933.55
4.38,42,9028.99,4166.75
4.93,42,10740.9,3210.65
5.08,42,11180.8,2984.17
5.94,42,13396.7,1963.81
7.07,42,14917.9,1730.94
8.12,42,10749.1,5892.22
8.86,42,3945.73,10983.8
10.07,42,1753.43,10455.8
11.14,42,1822.29,9518.77
13.31,42,1976.52,9035.85
14.87,42,1996.95,9002.75
0,43,2000,9000
0.31,43,2000,9000
0.96,43,2000,9000
1.67,43,2380.2,8648.35
1.82,43,2632.11,8427.69
2.32,43,3523.07,7733.56
3.07,43,5191.08,6570.89
3.42,43,5998.13,6071.19
4.02,43,7830.85,4877.7
4.47,43,9246.33,4037.93
4.79,43,10248.5,3474.66
4.97,43,10801.1,3176.3
6.05,43,13610,1871.41
7.08,43,14957.6,1690.52
8.04,43,11794.8,4995.64
8.97,43,3492.79,11236.5
9.99,43,1768.51,10609.3
11.11,43,1816.6,9556.74
13.02,43,1963.68,9059.82
15.03,43,1997.18,9002.44
0,44,2000,9000
0.5,44,2000,9000
1.2,44,2013.08,8987.22
1.54,44,2359.63,8662.61
1.89,44,3174.25,7953.87
2.51,44,5154.35,6430.1
2.82,44,6282.79,5644.42
3.34,44,8210.73,4422.57
3.89,44,10121.6,3356.78
4.51,44,11987.6,2467.98
4.96,44,13056.6,2064.02
5.16,44,13451.2,1943.49
5.92,44,14544.8,1733.41
7.04,44,14224.5,2787.04
7.95,44,7562.42,8545.88
8.98,44,2046.04,11247.4
9.91,44,1754.12,10092.8
10.89,44,1846.97,9410.59
13.18,44,1984.27,9022
14.84,44,1998.38,9001.32
0,45,2000,9000
0.38,45,2000,9000
0.96,45,2000,9000
1.57,45,2452.41,8577.9
1.98,45,3517.41,7668.33
2.35,45,4698.28,6760.19
2.91,45,6726.53,5346.94
3.53,45,8982,3978.32
3.95,45,10411.2,3206.11
4.5,45,12033.2,2449.68
5.01,45,13216.8,2011.85
5.1,45,13391.1,1960.19
6.01,45,14664.5,1725.46
7.05,45,14056.7,2949.3
8.1,45,5713.9,9905.04
9.01,45,1968.56,11163.6
9.97,45,1762.36,9988.95
11.17,45,1882.98,9284.65
13.06,45,1982.59,9025.27
14.9,45,1998.4,9001.17
0,46,2000,9000
0.62,46,2000,9000
0.97,46,2000,9000
1.68,46,2613.09,8436.38
1.84,46,2995.18,8106.36
2.41,46,4744.71,6729.17
2.92,46,6587.93,5441.71
3.66,46,9277.21,3812.77
3.93,46,10193,3320.53
4.44,46,11750.8,2568.55
4.87,46,12824.2,2142.77
4.99,46,13084.1,2053.87
5.92,46,14532.3,1730.06
6.9,46,14640,2342.54
8.12,46,6196.76,9567.31
8.98,46,2027.63,11331
10.08,46,1766.06,9948.7
10.91,46,1846.93,9411.18
12.88,46,1979.8,9032.06
14.94,46,1998.66,9000.56
0,47,2000,9000
0.5,47,2000,9000
1.19,47,2016.36,8983.99
1.64,47,2704.07,8351.25
2.17,47,4282.63,7066.41
2.49,47,5354.32,6287.47
2.9,47,6887.17,5238.93
