rep,id,Te,p
1,170,308.188812,1.425672
1,171,327.930698,1.425672
1,172,299.365916,1.425672
1,173,385.909285,1.425672
1,174,557.909739,1.425672
1,175,708.279920,1.425672
1,176,549.567846,1.425672
1,177,505.349370,1.425672
1,178,302.883009,1.425672
1,179,205.879580,1.425672
1,180,467.390692,1.425672
1,181,824.218391,1.425672
1,182,852.037086,1.425672
1,183,472.301323,1.425672
1,184,816.564569,1.425672
1,185,283.766518,1.425672
1,186,262.001965,1.425672
1,187,254.503031,1.425672
1,188,465.971180,1.425672
1,189,729.197698,1.425672
1,190,392.017561,1.425672
1,191,435.466319,1.425672
1,192,279.290600,1.425672
1,193,501.375733,1.425672
1,194,360.363277,1.425672
1,195,274.932941,1.425672
1,196,449.726081,1.425672
1,197,317.413022,1.425672
1,198,277.388571,1.425672
1,199,1343.367992,1.425672
1,200,315.921119,1.425672
1,201,243.562404,1.425672
1,202,272.522944,1.425672
1,203,489.068312,1.425672
1,204,978.476063,1.425672
1,205,544.558644,1.425672
1,206,478.367872,1.425672
1,207,298.693299,1.425672
1,208,473.237804,1.425672
1,209,371.230523,1.425672
1,210,458.207129,1.425672
1,211,513.158040,1.425672
1,212,483.389286,1.425672
1,213,260.530389,1.425672
1,214,520.610549,1.425672
1,215,308.325537,1.425672
1,216,936.854264,1.425672
1,217,314.579452,1.425672
1,218,362.382512,1.425672
1,219,711.129958,1.425672
1,220,495.550786,1.425672
1,221,570.841747,1.425672
1,222,719.517625,1.425672
1,223,566.283478,1.425672
1,224,268.712212,1.425672
1,225,479.731283,1.425672
1,226,257.391727,1.425672
1,227,313.895299,1.425672
1,228,312.930483,1.425672
